Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1989	538079	45 Walu Street	12/10/1989	16/07/2018	-	$0	694m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	39958	51 Barada Crescent	08/12/1992	08/12/1992	-	$334,500	803m	Full transfer	-	-	-	-	-	$334,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	39900	62 Barada Crescent	08/09/1992	08/09/1992	-	$290,000	1376m	Full transfer	-	-	-	-	-	$290,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	40106	36 Araba Street	28/02/1992	28/02/1992	-	$279,000	1099m	Full transfer	-	-	-	-	-	$279,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	39973	12 Wolgal Place	01/09/1992	01/09/1992	-	$275,000	1018m	Full transfer	-	-	-	-	-	$275,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	29129	12 Janari Place	24/06/1992	24/06/1992	-	$265,000	853m	Full transfer	-	-	-	-	-	$265,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	40097	16 Juwin Street	15/01/1992	15/01/1992	-	$257,000	1096m	Full transfer	-	-	-	-	-	$257,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	39771	13 Jalanga Crescent	23/12/1992	23/12/1992	-	$247,000	713m	Full transfer	-	-	-	-	-	$247,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	29130	25 Walu Place	01/09/1992	01/09/1992	-	$237,000	830m	Full transfer	-	-	-	-	-	$237,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	40056	5 Jagara Street	24/02/1992	24/02/1992	-	$228,000	697m	Full transfer	-	-	-	-	-	$228,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	39959	49 Barada Crescent	14/02/1992	14/02/1992	-	$218,000	760m	Full transfer	-	-	-	-	-	$218,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	39927	1 Mirning Crescent	03/06/1992	03/06/1992	-	$217,000	799m	Full transfer	-	-	-	-	-	$217,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	40075	18 Jagara Street	02/09/1992	02/09/1992	-	$212,000	933m	Full transfer	-	-	-	-	-	$212,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
