Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1992	49636	23 Percy Crescent	09/09/1992	09/09/1992	-	$338,000	1290m	Full transfer	-	-	-	-	-	$338,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49455	2 Lincoln Place	09/09/1992	09/09/1992	-	$335,000	1619m	Full transfer	-	-	-	-	-	$335,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49555	3 Tudawalli Place	18/02/1992	18/02/1992	-	$327,000	1344m	Full transfer	-	-	-	-	-	$327,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49513	7 Simmons Place	10/11/1992	10/11/1992	-	$320,000	1823m	Full transfer	-	-	-	-	-	$320,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49751	123 Perry Drive	04/06/1992	04/06/1992	-	$287,000	1382m	Full transfer	-	-	-	-	-	$287,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49580	55 Sidaway Street	13/10/1992	13/10/1992	-	$287,000	913m	Full transfer	-	-	-	-	-	$287,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49578	13 Ordell Street	04/05/1992	04/05/1992	-	$283,000	1158m	Full transfer	-	-	-	-	-	$283,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49518	83 Doyle Terrace	16/10/1992	16/10/1992	-	$280,000	1459m	Full transfer	-	-	-	-	-	$280,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49756	11 Titheradge Place	08/04/1992	08/04/1992	-	$280,000	1343m	Full transfer	-	-	-	-	-	$280,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1992	49554	2 Howarth Place	23/07/1992	23/07/1992	-	$275,000	911m	Full transfer	-	-	-	-	-	$275,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49559	7 Howarth Place	06/04/1992	06/04/1992	-	$275,000	1005m	Full transfer	-	-	-	-	-	$275,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49521	90 Doyle Terrace	17/07/1992	17/07/1992	-	$265,000	746m	Full transfer	-	-	-	-	-	$265,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49634	53 Percy Crescent	25/11/1992	25/11/1992	-	$265,000	1201m	Full transfer	-	-	-	-	-	$265,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49752	119 Perry Drive	17/12/1992	17/12/1992	-	$265,000	1296m	Full transfer	-	-	-	-	-	$265,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49515	3 Redgrave Place	28/04/1992	28/04/1992	-	$265,000	1306m	Full transfer	-	-	-	-	-	$265,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49525	3 Ive Place	15/10/1992	15/10/1992	-	$260,000	1337m	Full transfer	-	-	-	-	-	$260,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49461	47 Doyle Terrace	14/04/1992	14/04/1992	-	$257,000	1272m	Full transfer	-	-	-	-	-	$257,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49502	54 Doyle Terrace	21/09/1992	21/09/1992	-	$255,000	960m	Full transfer	-	-	-	-	-	$255,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49557	8 Tudawalli Place	09/03/1992	09/03/1992	-	$246,500	1621m	Full transfer	-	-	-	-	-	$246,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	49613	73 Sidaway Street	28/08/1992	28/08/1992	-	$240,000	917m	Full transfer	-	-	-	-	-	$240,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
