Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1992	51985	53 Lucy Gullett Circuit	27/07/1992	27/07/1992	-	$256,500	870m	Full transfer	-	-	-	-	-	$256,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51091	3 Guerin Place	25/03/1992	25/03/1992	-	$245,000	879m	Full transfer	-	-	-	-	-	$245,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1992	51488	9 Dietrich Place	11/05/1992	11/05/1992	-	$245,000	1062m	Full transfer	-	-	-	-	-	$245,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51144	18 Macnamara Place	20/07/1992	20/07/1992	-	$238,000	1151m	Full transfer	-	-	-	-	-	$238,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51533	19 Purbrick Street	23/12/1992	23/12/1992	-	$230,000	1051m	Full transfer	-	-	-	-	-	$230,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51016	13 Armfield Place	10/02/1992	10/02/1992	-	$215,000	889m	Full transfer	-	-	-	-	-	$215,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51461	16 Muntz Street	29/10/1992	29/10/1992	-	$210,000	977m	Full transfer	-	-	-	-	-	$210,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51502	6 Dietrich Place	01/09/1992	01/09/1992	-	$205,000	1172m	Full transfer	-	-	-	-	-	$205,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51968	73 Lucy Gullett Circuit	20/07/1992	20/07/1992	-	$197,000	1160m	Full transfer	-	-	-	-	-	$197,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51536	11 Purbrick Street	12/03/1992	12/03/1992	-	$197,000	1054m	Full transfer	-	-	-	-	-	$197,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51130	3 Rose Scott Circuit	25/09/1992	25/09/1992	-	$195,000	808m	Full transfer	-	-	-	-	-	$195,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	52085	1 Rapke Place	10/11/1992	10/11/1992	-	$193,000	863m	Full transfer	-	-	-	-	-	$193,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	52268	118 Deamer Crescent	08/05/1992	08/05/1992	-	$192,000	982m	Full transfer	-	-	-	-	-	$192,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51066	19 Pankhurst Crescent	28/01/1992	28/01/1992	-	$192,000	1502m	Full transfer	-	-	-	-	-	$192,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51233	1 Enid Lorimer Circuit	09/12/1992	09/12/1992	-	$190,000	953m	Full transfer	-	-	-	-	-	$190,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51067	47 Couchman Crescent	31/12/1992	31/12/1992	-	$190,000	1184m	Full transfer	-	-	-	-	-	$190,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51142	16 Macnamara Place	06/10/1992	06/10/1992	-	$189,250	998m	Full transfer	-	-	-	-	-	$189,250	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	52006	3 Bainbridge Close	27/07/1992	27/07/1992	-	$189,000	900m	Full transfer	-	-	-	-	-	$189,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51464	10 Dilboong Place	27/08/1992	27/08/1992	-	$186,500	1262m	Full transfer	-	-	-	-	-	$186,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	52083	9 Rapke Place	02/04/1992	02/04/1992	-	$186,500	835m	Full transfer	-	-	-	-	-	$186,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	52033	1 Chase Place	14/04/1992	14/04/1992	-	$185,000	897m	Full transfer	-	-	-	-	-	$185,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51110	6 Crommelin Place	13/05/1992	13/05/1992	-	$184,000	1342m	Full transfer	-	-	-	-	-	$184,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51060	2 Guerin Place	02/12/1992	02/12/1992	-	$184,000	1043m	Full transfer	-	-	-	-	-	$184,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51109	19 Rose Scott Circuit	18/06/1992	18/06/1992	-	$183,000	1037m	Full transfer	-	-	-	-	-	$183,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51979	48 Lucy Gullett Circuit	24/01/1992	24/01/1992	-	$181,000	1073m	Full transfer	-	-	-	-	-	$181,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51131	91 Couchman Crescent	18/11/1992	18/11/1992	-	$180,000	902m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51545	27 Baskerville Street	16/04/1992	16/04/1992	-	$180,000	1158m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51735	8 Fiveash Street	06/01/1992	06/01/1992	-	$178,000	853m	Full transfer	-	-	-	-	-	$178,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	52137	51 Kirkcaldie Circuit	21/01/1992	21/01/1992	-	$177,000	808m	Full transfer	-	-	-	-	-	$177,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51789	3 Swanton Street	02/09/1992	02/09/1992	-	$172,500	837m	Full transfer	-	-	-	-	-	$172,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51014	6 Armfield Place	30/12/1992	30/12/1992	-	$170,000	747m	Full transfer	-	-	-	-	-	$170,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51482	8 Turriff Street	11/12/1992	11/12/1992	-	$169,000	776m	Full transfer	-	-	-	-	-	$169,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	52118	92 Hambidge Crescent	25/08/1992	25/08/1992	-	$168,000	853m	Full transfer	-	-	-	-	-	$168,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	52170	8 Forde Place	30/09/1992	30/09/1992	-	$167,000	1367m	Full transfer	-	-	-	-	-	$167,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51281	23 Barangaroo Street	23/12/1992	23/12/1992	-	$166,000	862m	Full transfer	-	-	-	-	-	$166,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	52007	41 Lucy Gullett Circuit	06/04/1992	06/04/1992	-	$165,000	980m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	52174	3 Muscio Place	19/03/1992	19/03/1992	-	$164,000	910m	Full transfer	-	-	-	-	-	$164,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51491	27 Turriff Street	13/04/1992	13/04/1992	-	$163,500	1040m	Full transfer	-	-	-	-	-	$163,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51217	55 Enid Lorimer Circuit	09/06/1992	09/06/1992	-	$163,000	730m	Full transfer	-	-	-	-	-	$163,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	51528	16 Chant Street	10/01/1992	10/01/1992	-	$162,500	1061m	Full transfer	-	-	-	-	-	$162,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
