Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1990	1470	            62/216 City Walk	14/04/1990	16/05/1996	-	$220,000	1138m	Full transfer	-	-	-	-	-	$220,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	52371	15 London Circuit	11/12/1992	11/12/1992	-	$23,000,000	892m	Full transfer	-	-	-	-	-	$23,000,000	-	-	Government Record	-	-	-	Non retail commercial uses	-	-
1992	52384	4 Marcus Clarke Street	08/07/1992	08/07/1992	-	$8,150,000	4193m	Full transfer	-	-	-	-	-	$8,150,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
1992	52290	187 London Circuit	07/01/1992	07/01/1992	-	$6,587,838	729m	Full transfer	-	-	-	-	-	$6,587,838	-	-	Government Record	-	-	-	Office,professional suite	-	-
1992	52326	34 Marcus Clarke Street	04/09/1992	04/09/1992	-	$6,100,000	604m	Full transfer	-	-	-	-	-	$6,100,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
1992	52281	27 Northbourne Avenue	02/01/1992	02/01/1992	-	$4,119,620	500m	Full transfer	-	-	-	-	-	$4,119,620	-	-	Government Record	-	-	-	Office,professional suite	-	-
1992	52260	29 Northbourne Avenue	07/01/1992	07/01/1992	-	$4,119,620	201m	Full transfer	-	-	-	-	-	$4,119,620	-	-	Government Record	-	-	-	Office,professional suite	-	-
1992	52351	117 London Circuit	30/12/1992	30/12/1992	-	$2,175,000	121m	Full transfer	-	-	-	-	-	$2,175,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
1992	52354	121 London Circuit	30/12/1992	30/12/1992	-	$2,175,000	500m	Full transfer	-	-	-	-	-	$2,175,000	-	-	Government Record	-	-	-	Residential	-	-
1992	52314	16 Petrie Plaza	20/07/1992	20/07/1992	-	$1,675,000	279m	Full transfer	-	-	-	-	-	$1,675,000	-	-	Government Record	-	-	-	Residential	-	-
1992	52341	21 Garema Place	01/12/1992	01/12/1992	-	$855,000	139m	Full transfer	-	-	-	-	-	$855,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
1992	52282	61 London Circuit	07/12/1992	07/12/1992	-	$555,000	121m	Full transfer	-	-	-	-	-	$555,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
1992	1634	            85/2 Marcus Clarke Street	07/10/1992	07/10/1992	-	$525,000	7982m	Full transfer	-	-	-	-	-	$525,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	52350	15 East Row	14/10/1992	14/10/1992	-	$455,000	202m	Full transfer	-	-	-	-	-	$455,000	-	-	Government Record	-	-	-	Residential	-	-
1992	1587	            50/2 Marcus Clarke Street	12/10/1992	12/10/1992	-	$430,000	7982m	Full transfer	-	-	-	-	-	$430,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1631	            82/2 Marcus Clarke Street	04/12/1992	04/12/1992	-	$430,000	7982m	Full transfer	-	-	-	-	-	$430,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1579	            43/2 Marcus Clarke Street	30/09/1992	30/09/1992	-	$410,000	7982m	Full transfer	-	-	-	-	-	$410,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1615	            73/2 Marcus Clarke Street	29/09/1992	29/09/1992	-	$405,000	7982m	Full transfer	-	-	-	-	-	$405,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1608	            68/2 Marcus Clarke Street	29/09/1992	29/09/1992	-	$395,000	7982m	Full transfer	-	-	-	-	-	$395,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1562	            29/2 Marcus Clarke Street	06/10/1992	06/10/1992	-	$380,000	7982m	Full transfer	-	-	-	-	-	$380,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1570	            36/2 Marcus Clarke Street	12/10/1992	12/10/1992	-	$380,000	7982m	Full transfer	-	-	-	-	-	$380,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1591	            54/2 Marcus Clarke Street	29/09/1992	29/09/1992	-	$365,000	7982m	Full transfer	-	-	-	-	-	$365,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1589	            52/2 Marcus Clarke Street	01/10/1992	01/10/1992	-	$360,000	7982m	Full transfer	-	-	-	-	-	$360,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1581	            45/2 Marcus Clarke Street	05/11/1992	05/11/1992	-	$355,000	7982m	Full transfer	-	-	-	-	-	$355,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1553	            22/2 Marcus Clarke Street	09/10/1992	09/10/1992	-	$345,000	7982m	Full transfer	-	-	-	-	-	$345,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1573	            38/2 Marcus Clarke Street	08/10/1992	08/10/1992	-	$340,000	7982m	Full transfer	-	-	-	-	-	$340,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1576	            40/2 Marcus Clarke Street	09/10/1992	09/10/1992	-	$340,000	7982m	Full transfer	-	-	-	-	-	$340,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1583	            47/2 Marcus Clarke Street	29/09/1992	29/09/1992	-	$340,000	7982m	Full transfer	-	-	-	-	-	$340,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1565	            31/2 Marcus Clarke Street	14/10/1992	14/10/1992	-	$325,000	7982m	Full transfer	-	-	-	-	-	$325,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	52294	21/161 London Circuit	14/02/1992	14/02/1992	-	$310,000	859m	Full transfer	-	-	-	-	-	$310,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
1992	52293	20/161 London Circuit	17/02/1992	17/02/1992	-	$310,000	859m	Full transfer	-	-	-	-	-	$310,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
1992	1567	            33/2 Marcus Clarke Street	02/10/1992	02/10/1992	-	$305,000	7982m	Full transfer	-	-	-	-	-	$305,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1569	            35/2 Marcus Clarke Street	22/09/1992	22/09/1992	-	$305,000	7982m	Full transfer	-	-	-	-	-	$305,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1609	            69/2 Marcus Clarke Street	25/09/1992	25/09/1992	-	$300,000	7982m	Full transfer	-	-	-	-	-	$300,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1622	            8/2 Marcus Clarke Street	22/09/1992	22/09/1992	-	$300,000	7982m	Full transfer	-	-	-	-	-	$300,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1561	            28/2 Marcus Clarke Street	14/10/1992	14/10/1992	-	$295,000	7982m	Full transfer	-	-	-	-	-	$295,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1564	            30/2 Marcus Clarke Street	06/10/1992	06/10/1992	-	$295,000	7982m	Full transfer	-	-	-	-	-	$295,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1559	            26/2 Marcus Clarke Street	27/10/1992	27/10/1992	-	$290,000	7982m	Full transfer	-	-	-	-	-	$290,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1549	            19/2 Marcus Clarke Street	15/12/1992	15/12/1992	-	$285,000	7982m	Full transfer	-	-	-	-	-	$285,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1556	            24/2 Marcus Clarke Street	01/12/1992	01/12/1992	-	$285,000	7982m	Full transfer	-	-	-	-	-	$285,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1593	            55/2 Marcus Clarke Street	25/09/1992	25/09/1992	-	$280,000	7982m	Full transfer	-	-	-	-	-	$280,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1546	            17/2 Marcus Clarke Street	30/09/1992	30/09/1992	-	$270,000	7982m	Full transfer	-	-	-	-	-	$270,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1542	            14/2 Marcus Clarke Street	27/10/1992	27/10/1992	-	$260,000	7982m	Full transfer	-	-	-	-	-	$260,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1584	            48/2 Marcus Clarke Street	30/09/1992	30/09/1992	-	$260,000	7982m	Full transfer	-	-	-	-	-	$260,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1639	            9/2 Marcus Clarke Street	29/09/1992	29/09/1992	-	$255,000	7982m	Full transfer	-	-	-	-	-	$255,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1513	            10/2 Marcus Clarke Street	30/09/1992	30/09/1992	-	$255,000	7982m	Full transfer	-	-	-	-	-	$255,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1586	            5/2 Marcus Clarke Street	01/10/1992	01/10/1992	-	$255,000	7982m	Full transfer	-	-	-	-	-	$255,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1528	            12/2 Marcus Clarke Street	20/10/1992	20/10/1992	-	$255,000	7982m	Full transfer	-	-	-	-	-	$255,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	1551	            20/2 Marcus Clarke Street	22/12/1992	22/12/1992	-	$230,000	7982m	Full transfer	-	-	-	-	-	$230,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
