Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1990	58943	23 Alarmon Crescent	29/06/1990	23/11/1994	-	$41,000	480m	Full transfer	-	-	-	-	-	$41,000	-	-	Government Record	-	-	-	Cottage block	-	-
1994	58986	33 Buckmaster Crescent	26/08/1994	20/12/1994	-	$255,432	919m	Full transfer	-	-	-	-	-	$255,432	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1994	59335	19 Evelyn Owen Crescent	31/05/1994	05/07/1995	-	$172,000	831m	Full transfer	-	-	-	-	-	$172,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1994	58756	23 Thornhill Crescent	28/09/1994	07/06/1995	-	$166,000	473m	Full transfer	-	-	-	-	-	$166,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1994	58916	3 Gye Place	19/12/1994	20/04/1995	-	$161,000	882m	Full transfer	-	-	-	-	-	$161,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1994	58913	6 Gye Place	17/06/1994	31/10/1994	-	$156,600	953m	Full transfer	-	-	-	-	-	$156,600	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1994	59323	17 Evelyn Owen Crescent	14/04/1994	09/03/1995	-	$147,000	843m	Full transfer	-	-	-	-	-	$147,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1994	59538	54 Evelyn Owen Crescent	07/12/1994	15/05/1995	-	$144,900	735m	Full transfer	-	-	-	-	-	$144,900	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1994	58968	27 Alarmon Crescent	02/12/1994	20/06/1995	-	$144,035	487m	Full transfer	-	-	-	-	-	$144,035	-	-	Government Record	-	-	-	Cottage block	-	-
1994	58882	15 Elyard Place	26/05/1994	24/10/1994	-	$143,000	451m	Full transfer	-	-	-	-	-	$143,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1994	59294	17 Fleay Place	18/11/1994	13/04/1995	-	$142,000	606m	Full transfer	-	-	-	-	-	$142,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1994	58842	11 Berkeley Street	18/10/1994	13/03/1995	-	$141,500	559m	Full transfer	-	-	-	-	-	$141,500	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1994	58804	68 Evelyn Owen Crescent	18/04/1994	21/10/1994	-	$140,000	1979m	Full transfer	-	-	-	-	-	$140,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1994	58836	1 Berkeley Street	12/09/1994	06/01/1995	20/06/2001	$140,000	568m	Full transfer	3	2	1	2	-	$140,000	-	-	Combined Record	-	-	-	Single residential dwelling...	$36,000	0.26
1994	59096	24 Hugh McKay Crescent	29/09/1994	30/01/1995	-	$133,000	2411m	Full transfer	-	-	-	-	-	$133,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1994	58910	25 Alarmon Crescent	27/10/1994	05/04/1995	-	$132,600	480m	Full transfer	-	-	-	-	-	$132,600	-	-	Government Record	-	-	-	Cottage block	-	-
1994	58830	3 Elyard Place	17/08/1994	20/02/1995	-	$132,000	596m	Full transfer	-	-	-	-	-	$132,000	-	-	Government Record	-	-	-	Cottage block	-	-
1994	58861	18 Lance Hill Avenue	27/09/1994	14/02/1995	-	$131,900	512m	Full transfer	-	-	-	-	-	$131,900	-	-	Government Record	-	-	-	Cottage block	-	-
1994	58888	15 Alarmon Crescent	28/02/1994	17/10/1994	-	$130,900	420m	Full transfer	-	-	-	-	-	$130,900	-	-	Government Record	-	-	-	Courtyard block	-	-
1994	58772	47 Thornhill Crescent	14/04/1994	02/02/1995	-	$130,000	503m	Full transfer	-	-	-	-	-	$130,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1994	59490	5 Lahiff Place	23/11/1994	04/04/1995	-	$130,000	631m	Full transfer	-	-	-	-	-	$130,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
