Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1990	139413	5 Miethke Place	18/02/1990	12/02/2003	-	-	731m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1991	185360	32 Vogelsang Place	15/04/1991	26/06/2000	-	-	1005m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63726	8 Ryle Place	30/12/1992	30/12/1992	-	$275,000	940m	Full transfer	-	-	-	-	-	$275,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63501	29 Vickers Crescent	20/07/1992	20/07/1992	-	$261,500	1312m	Full transfer	-	-	-	-	-	$261,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63329	12 Herschell Circuit	19/08/1992	19/08/1992	-	$222,000	813m	Full transfer	-	-	-	-	-	$222,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63328	21 Spalding Street	12/08/1992	12/08/1992	-	$215,000	780m	Full transfer	-	-	-	-	-	$215,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63330	23 Spalding Street	13/04/1992	13/04/1992	-	$210,000	1148m	Full transfer	-	-	-	-	-	$210,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63901	39 Barber Crescent	14/04/1992	14/04/1992	-	$208,950	1014m	Full transfer	-	-	-	-	-	$208,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63906	61 Barber Crescent	18/12/1992	18/12/1992	-	$200,000	1179m	Full transfer	-	-	-	-	-	$200,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63326	13 Spalding Street	24/02/1992	24/02/1992	-	$193,000	907m	Full transfer	-	-	-	-	-	$193,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63748	13 Strehlow Place	27/08/1992	27/08/1992	-	$189,500	732m	Full transfer	-	-	-	-	-	$189,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63910	57 Barber Crescent	15/12/1992	15/12/1992	-	$184,000	1285m	Full transfer	-	-	-	-	-	$184,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63869	41 Wilkinson Street	21/08/1992	21/08/1992	-	$183,000	930m	Full transfer	-	-	-	-	-	$183,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63610	35 Hooper Crescent	28/04/1992	28/04/1992	-	$181,000	1215m	Full transfer	-	-	-	-	-	$181,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63291	56 Barber Crescent	01/09/1992	01/09/1992	-	$179,000	1140m	Full transfer	-	-	-	-	-	$179,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63894	46 Blackwell Circuit	10/08/1992	10/08/1992	-	$177,000	908m	Full transfer	-	-	-	-	-	$177,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63883	32 Barber Crescent	22/09/1992	22/09/1992	-	$176,500	815m	Full transfer	-	-	-	-	-	$176,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63853	12 Blackwell Circuit	24/07/1992	24/07/1992	-	$175,000	846m	Full transfer	-	-	-	-	-	$175,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63511	1 Ramage Place	31/03/1992	31/03/1992	-	$175,000	1000m	Full transfer	-	-	-	-	-	$175,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63830	7 Rossell Place	19/03/1992	19/03/1992	-	$175,000	989m	Full transfer	-	-	-	-	-	$175,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63290	54 Barber Crescent	06/01/1992	06/01/1992	-	$173,500	1037m	Full transfer	-	-	-	-	-	$173,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63638	7 Seal Place	16/01/1992	16/01/1992	-	$172,000	890m	Full transfer	-	-	-	-	-	$172,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63317	18 Herschell Circuit	23/07/1992	23/07/1992	-	$170,000	905m	Full transfer	-	-	-	-	-	$170,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63349	29 Herschell Circuit	10/08/1992	10/08/1992	-	$170,000	765m	Full transfer	-	-	-	-	-	$170,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63515	9 Murrell Place	09/07/1992	09/07/1992	-	$169,000	954m	Full transfer	-	-	-	-	-	$169,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63767	19 Crawford Crescent	17/08/1992	17/08/1992	-	$167,000	820m	Full transfer	-	-	-	-	-	$167,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63870	43 Wilkinson Street	29/09/1992	29/09/1992	-	$165,000	866m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63432	14 Plowman Place	17/08/1992	17/08/1992	-	$165,000	946m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63344	7 Newland Street	28/09/1992	28/09/1992	-	$163,000	940m	Full transfer	-	-	-	-	-	$163,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63729	13 Love Street	01/12/1992	01/12/1992	-	$162,500	827m	Full transfer	-	-	-	-	-	$162,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63339	1 Spalding Street	20/07/1992	20/07/1992	-	$160,000	1008m	Full transfer	-	-	-	-	-	$160,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63354	11 Herschell Circuit	18/02/1992	18/02/1992	-	$158,000	870m	Full transfer	-	-	-	-	-	$158,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63579	22 Vogelsang Place	30/09/1992	30/09/1992	-	$158,000	1088m	Full transfer	-	-	-	-	-	$158,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63863	67 Blackwell Circuit	19/10/1992	19/10/1992	-	$158,000	789m	Full transfer	-	-	-	-	-	$158,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63619	36 Nulsen Circuit	12/05/1992	12/05/1992	-	$158,000	874m	Full transfer	-	-	-	-	-	$158,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63663	16 Joyner Place	02/06/1992	02/06/1992	-	$156,000	1010m	Full transfer	-	-	-	-	-	$156,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63462	22 Inlander Crescent	28/07/1992	28/07/1992	-	$155,000	951m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63392	12 Reuther Street	14/10/1992	14/10/1992	-	$155,000	1000m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63353	15 Herschell Circuit	03/03/1992	03/03/1992	-	$154,500	834m	Full transfer	-	-	-	-	-	$154,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63885	60 Spalding Street	29/09/1992	29/09/1992	-	$153,000	949m	Full transfer	-	-	-	-	-	$153,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63441	8 Seddon Place	29/09/1992	29/09/1992	-	$152,000	1581m	Full transfer	-	-	-	-	-	$152,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63857	32 Tillyard Drive	01/10/1992	01/10/1992	-	$152,000	859m	Full transfer	-	-	-	-	-	$152,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63706	6 Huelin Circuit	14/10/1992	14/10/1992	-	$150,000	724m	Full transfer	-	-	-	-	-	$150,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63510	20 Vickers Crescent	10/08/1992	10/08/1992	-	$150,000	824m	Full transfer	-	-	-	-	-	$150,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63336	36 Pattinson Crescent	03/02/1992	03/02/1992	-	$150,000	914m	Full transfer	-	-	-	-	-	$150,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63362	8 Bingle Street	25/05/1992	25/05/1992	-	$149,000	806m	Full transfer	-	-	-	-	-	$149,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	63761	82 Tillyard Drive	23/06/1992	23/06/1992	-	$148,000	886m	Full transfer	-	-	-	-	-	$148,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
