Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1992	2316	            Atalumba Close	23/01/1992	23/01/1992	-	$1,293,000	2477m	Full transfer	-	-	-	-	-	$1,293,000	-	-	Government Record	-	-	-	Service station (non-car sa...	-	-
1992	66335	18 Lenehan Street	08/09/1992	08/09/1992	-	$258,000	1078m	Full transfer	-	-	-	-	-	$258,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66399	7 Capella Crescent	24/01/1992	24/01/1992	-	$235,000	1107m	Full transfer	-	-	-	-	-	$235,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1992	65943	72 Baracchi Crescent	02/10/1992	02/10/1992	-	$226,000	819m	Full transfer	-	-	-	-	-	$226,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66429	2 Agena Place	11/12/1992	11/12/1992	-	$200,000	896m	Full transfer	-	-	-	-	-	$200,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66258	6 Merfield Place	07/10/1992	07/10/1992	-	$199,500	923m	Full transfer	-	-	-	-	-	$199,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66336	3 Sculptor Street	08/04/1992	08/04/1992	-	$197,750	968m	Full transfer	-	-	-	-	-	$197,750	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66047	45 Baracchi Crescent	24/04/1992	24/04/1992	-	$190,000	1184m	Full transfer	-	-	-	-	-	$190,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66426	5 Smalley Circuit	15/12/1992	15/12/1992	-	$187,000	813m	Full transfer	-	-	-	-	-	$187,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66291	105 Baracchi Crescent	09/03/1992	09/03/1992	-	$182,000	1099m	Full transfer	-	-	-	-	-	$182,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66167	100 Baracchi Crescent	12/03/1992	12/03/1992	-	$180,000	881m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66161	14 Baracchi Crescent	20/05/1992	20/05/1992	-	$177,500	868m	Full transfer	-	-	-	-	-	$177,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66160	12 Baracchi Crescent	01/07/1992	01/07/1992	-	$173,000	833m	Full transfer	-	-	-	-	-	$173,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66020	8 Alphard Place	12/08/1992	12/08/1992	-	$172,000	836m	Full transfer	-	-	-	-	-	$172,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66341	157 Chuculba Crescent	29/04/1992	29/04/1992	-	$170,000	902m	Full transfer	-	-	-	-	-	$170,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66052	33 Baracchi Crescent	30/06/1992	30/06/1992	-	$167,500	967m	Full transfer	-	-	-	-	-	$167,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66168	102 Baracchi Crescent	05/03/1992	05/03/1992	-	$165,000	1005m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66126	65 Chuculba Crescent	11/12/1992	11/12/1992	-	$164,000	838m	Full transfer	-	-	-	-	-	$164,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66370	2 Maraar Place	15/12/1992	15/12/1992	-	$164,000	878m	Full transfer	-	-	-	-	-	$164,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66098	7 Warring Place	19/10/1992	19/10/1992	-	$160,000	1116m	Full transfer	-	-	-	-	-	$160,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66397	4 Rigel Place	03/03/1992	03/03/1992	-	$160,000	929m	Full transfer	-	-	-	-	-	$160,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	65890	22 Mirrabucca Crescent	20/01/1992	20/01/1992	-	$160,000	804m	Full transfer	-	-	-	-	-	$160,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66049	41 Baracchi Crescent	23/04/1992	23/04/1992	-	$158,000	866m	Full transfer	-	-	-	-	-	$158,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66051	35 Baracchi Crescent	11/06/1992	11/06/1992	-	$156,000	1137m	Full transfer	-	-	-	-	-	$156,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66340	159 Chuculba Crescent	29/09/1992	29/09/1992	-	$155,000	820m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66137	3 Vela Place	08/09/1992	08/09/1992	-	$155,000	739m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66288	7 Lupus Place	25/08/1992	25/08/1992	-	$149,500	712m	Full transfer	-	-	-	-	-	$149,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66056	27 Baracchi Crescent	29/04/1992	29/04/1992	-	$148,000	782m	Full transfer	-	-	-	-	-	$148,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66044	55 Baracchi Crescent	11/09/1992	11/09/1992	-	$147,720	875m	Full transfer	-	-	-	-	-	$147,720	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66401	10 Capella Crescent	03/09/1992	03/09/1992	-	$147,500	779m	Full transfer	-	-	-	-	-	$147,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66366	9 Tucana Street	10/03/1992	10/03/1992	-	$145,500	737m	Full transfer	-	-	-	-	-	$145,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66089	35 Fornax Street	12/05/1992	12/05/1992	-	$145,500	894m	Full transfer	-	-	-	-	-	$145,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66302	28 Spica Street	22/12/1992	22/12/1992	-	$144,000	740m	Full transfer	-	-	-	-	-	$144,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66416	4 Smalley Circuit	21/04/1992	21/04/1992	-	$144,000	864m	Full transfer	-	-	-	-	-	$144,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66003	29 Balamara Street	24/12/1992	24/12/1992	-	$142,000	768m	Full transfer	-	-	-	-	-	$142,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66428	3 Smalley Circuit	12/03/1992	12/03/1992	-	$140,000	814m	Full transfer	-	-	-	-	-	$140,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66128	3 Octans Close	29/07/1992	29/07/1992	-	$140,000	902m	Full transfer	-	-	-	-	-	$140,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	65916	21 Chuculba Crescent	20/07/1992	20/07/1992	-	$139,950	832m	Full transfer	-	-	-	-	-	$139,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66159	90 Baracchi Crescent	23/10/1992	23/10/1992	-	$138,750	896m	Full transfer	-	-	-	-	-	$138,750	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66346	10 Sculptor Street	27/05/1992	27/05/1992	-	$138,000	774m	Full transfer	-	-	-	-	-	$138,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66325	9 Lenehan Street	28/04/1992	28/04/1992	-	$138,000	700m	Full transfer	-	-	-	-	-	$138,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66077	8 Kurria Place	23/12/1992	23/12/1992	-	$137,500	868m	Full transfer	-	-	-	-	-	$137,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66185	5 Orion Place	04/11/1992	04/11/1992	-	$137,000	677m	Full transfer	-	-	-	-	-	$137,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66308	19 Spica Street	09/07/1992	09/07/1992	-	$137,000	891m	Full transfer	-	-	-	-	-	$137,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66318	9 Ankaa Place	12/02/1992	12/02/1992	-	$137,000	717m	Full transfer	-	-	-	-	-	$137,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66050	39 Baracchi Crescent	07/04/1992	07/04/1992	-	$136,500	1181m	Full transfer	-	-	-	-	-	$136,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66129	7 Antares Crescent	11/11/1992	11/11/1992	-	$136,000	841m	Full transfer	-	-	-	-	-	$136,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66070	10 Neworra Place	18/03/1992	18/03/1992	-	$136,000	855m	Full transfer	-	-	-	-	-	$136,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66313	13 Spica Street	05/06/1992	05/06/1992	-	$135,000	1083m	Full transfer	-	-	-	-	-	$135,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66062	5 Warrambool Close	19/08/1992	19/08/1992	-	$134,000	867m	Full transfer	-	-	-	-	-	$134,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	65912	6 Mirrabucca Crescent	11/05/1992	11/05/1992	-	$134,000	897m	Full transfer	-	-	-	-	-	$134,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66290	184 Chuculba Crescent	26/06/1992	26/06/1992	-	$133,950	912m	Full transfer	-	-	-	-	-	$133,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66305	6 Spica Street	20/07/1992	20/07/1992	-	$133,500	707m	Full transfer	-	-	-	-	-	$133,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66153	11 Bindiri Place	19/10/1992	19/10/1992	-	$132,000	1116m	Full transfer	-	-	-	-	-	$132,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66277	119 Chuculba Crescent	19/08/1992	19/08/1992	-	$131,000	776m	Full transfer	-	-	-	-	-	$131,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66382	83 Canopus Crescent	24/03/1992	24/03/1992	-	$130,000	858m	Full transfer	-	-	-	-	-	$130,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	65867	34 Mirrabucca Crescent	02/11/1992	02/11/1992	-	$130,000	722m	Full transfer	-	-	-	-	-	$130,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	65892	10 Guguru Place	18/11/1992	18/11/1992	-	$128,500	963m	Full transfer	-	-	-	-	-	$128,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66404	67 Smalley Circuit	13/05/1992	13/05/1992	-	$127,500	973m	Full transfer	-	-	-	-	-	$127,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	65918	17 Chuculba Crescent	05/11/1992	05/11/1992	-	$127,000	813m	Full transfer	-	-	-	-	-	$127,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	66384	8 Musca Place	13/05/1992	13/05/1992	-	$126,500	756m	Full transfer	-	-	-	-	-	$126,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
