Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1981	144738	11 Bragg Street	13/03/1981	19/03/2002	-	-	747m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1981	72624	187 Phillip Avenue	06/03/1981	14/05/1996	-	-	784m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1986	166826	25 Harris Street	18/04/1986	24/07/2007	-	$0	831m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1987	493746	14 Steele Street	01/07/1987	23/12/2016	-	$0	727m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72713	70 Madigan Street	27/03/1992	27/03/1992	-	$700,000	2513m	Full transfer	-	-	-	-	-	$700,000	-	-	Government Record	-	-	-	Church associated building ...	-	-
1992	73125	2 Bragg Street	23/12/1992	23/12/1992	-	$243,000	837m	Full transfer	-	-	-	-	-	$243,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72831	23 Harris Street	17/11/1992	17/11/1992	-	$240,000	951m	Full transfer	-	-	-	-	-	$240,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72697	48 Madigan Street	08/05/1992	08/05/1992	-	$235,000	1706m	Full transfer	-	-	-	-	-	$235,000	-	-	Government Record	-	-	-	Residential flat building	-	-
1992	72849	23 Jukes Street	19/08/1992	19/08/1992	-	$226,000	1045m	Full transfer	-	-	-	-	-	$226,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73191	11 Caldwell Street	26/05/1992	26/05/1992	-	$220,000	712m	Full transfer	-	-	-	-	-	$220,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72854	27 Jukes Street	03/04/1992	03/04/1992	-	$210,000	910m	Full transfer	-	-	-	-	-	$210,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72873	48 Rivett Street	05/08/1992	05/08/1992	-	$202,000	885m	Full transfer	-	-	-	-	-	$202,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73095	125 Madigan Street	10/06/1992	10/06/1992	-	$196,500	773m	Full transfer	-	-	-	-	-	$196,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72735	7/70 Madigan Street	16/12/1992	16/12/1992	-	$195,000	2513m	Full transfer	-	-	-	-	-	$195,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	72926	21 Richards Street	28/04/1992	28/04/1992	-	$195,000	875m	Full transfer	-	-	-	-	-	$195,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72738	9/70 Madigan Street	16/12/1992	16/12/1992	-	$192,000	2513m	Full transfer	-	-	-	-	-	$192,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	72838	34 Rivett Street	17/08/1992	17/08/1992	-	$192,000	924m	Full transfer	-	-	-	-	-	$192,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73075	30 Brennan Street	25/05/1992	25/05/1992	-	$189,500	788m	Full transfer	-	-	-	-	-	$189,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72676	42 Stanley Street	29/10/1992	29/10/1992	-	$187,000	940m	Full transfer	-	-	-	-	-	$187,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73167	41 Maitland Street	07/04/1992	07/04/1992	-	$185,000	729m	Full transfer	-	-	-	-	-	$185,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73127	22 Bragg Street	10/06/1992	10/06/1992	-	$185,000	791m	Full transfer	-	-	-	-	-	$185,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72989	9 Grayson Street	08/07/1992	08/07/1992	-	$184,950	890m	Full transfer	-	-	-	-	-	$184,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72649	229 Phillip Avenue	27/11/1992	27/11/1992	-	$183,000	694m	Full transfer	-	-	-	-	-	$183,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72973	59 Mackenzie Street	20/03/1992	20/03/1992	-	$182,000	1038m	Full transfer	-	-	-	-	-	$182,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73060	15 Grayson Street	04/08/1992	04/08/1992	-	$182,000	706m	Full transfer	-	-	-	-	-	$182,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73165	8 Hedley Street	12/05/1992	12/05/1992	-	$177,000	666m	Full transfer	-	-	-	-	-	$177,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73144	12 Dunlop Street	16/04/1992	16/04/1992	-	$175,000	927m	Full transfer	-	-	-	-	-	$175,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73145	84 Mackenzie Street	06/03/1992	06/03/1992	-	$175,000	1070m	Full transfer	-	-	-	-	-	$175,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73189	11 Caldwell Street	01/10/1992	01/10/1992	-	$172,000	712m	Full transfer	-	-	-	-	-	$172,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72753	35 Gilbert Street	02/11/1992	02/11/1992	-	$172,000	809m	Full transfer	-	-	-	-	-	$172,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72860	320 Antill Street	10/02/1992	10/02/1992	-	$171,000	745m	Full transfer	-	-	-	-	-	$171,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72159	22 Gilbert Street	01/09/1992	01/09/1992	-	$170,000	847m	Full transfer	-	-	-	-	-	$170,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73098	131 Mackenzie Street	10/08/1992	10/08/1992	-	$168,000	906m	Full transfer	-	-	-	-	-	$168,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73056	5 Prell Place	23/06/1992	23/06/1992	-	$163,500	694m	Full transfer	-	-	-	-	-	$163,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	72808	8 Gilbert Street	20/03/1992	20/03/1992	-	$163,000	682m	Full transfer	-	-	-	-	-	$163,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
