Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1999	2852	            13 Hendry Close	30/12/1999	-	01/06/2006	$420,000	1001m	Full transfer	-	-	-	-	-	$420,000	-	-	Allhomes Record	-	-	-	-	-	-
2002	19793	            8 Phillis Place	15/08/2002	-	09/07/2002	$410,000	970m	Full transfer	4	1	1	2	-	$410,000	37	-	Allhomes Record	-	-	-	-	-	-
2002	19755	            9 Donnan Place	04/10/2002	-	14/06/2002	-	-	Full transfer	5	3	-	3	-	-	112	-	Allhomes Record	-	-	-	-	-	-
2002	19704	             Ring Metropolis For Address	08/07/2002	-	04/05/2002	-	-	Full transfer	5	2	1	3	-	-	65	-	Allhomes Record	-	-	-	-	-	-
2002	19903	             Sue Geh Circuit	20/11/2002	-	12/09/2002	-	-	Full transfer	4	1	1	2	-	-	69	-	Allhomes Record	-	-	-	-	-	-
2003	20405	            9 Pellew Street	22/07/2003	-	03/06/2003	$839,000	-	Full transfer	5	3	1	4	-	$839,000	49	-	Allhomes Record	-	-	-	-	-	-
2003	20604	            2 Eve Place	17/10/2003	-	12/09/2003	$619,950	-	Full transfer	4	2	1	3	-	$619,950	35	-	Allhomes Record	-	-	-	-	-	-
2003	20670	            10 Moriarty Street	18/12/2003	-	19/11/2003	$552,000	722m	Full transfer	4	1	1	2	-	$552,000	29	-	Allhomes Record	-	-	-	-	-	-
2003	20392	            19 Wendy Ey Place	22/07/2003	-	29/05/2003	$549,950	-	Full transfer	4	1	1	2	1	$549,950	54	-	Allhomes Record	-	-	-	-	-	-
2003	20046	            1/159 Dobbin Circuit	16/05/2003	-	15/11/2002	$546,800	-	Full transfer	4	1	1	2	-	$546,800	182	-	Allhomes Record	-	-	-	-	-	-
2003	20540	            8 Moriarty Street	26/08/2003	-	09/08/2003	$495,000	-	Full transfer	4	1	1	2	-	$495,000	17	-	Allhomes Record	-	-	-	-	-	-
2003	19935	            57 Lexcen Avenue	19/05/2003	-	19/02/2003	$489,000	1019m	Full transfer	4	2	1	2	-	$489,000	89	-	Allhomes Record	-	-	-	-	-	-
2003	20287	            9/160 Temperley Street	25/07/2003	-	24/03/2003	$472,100	-	Full transfer	4	1	1	2	-	$472,100	123	-	Allhomes Record	-	-	-	-	-	-
