Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1988	216941	30 Ambalindum Street	25/10/1988	13/01/2005	-	-	1145m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1990	15360	            5/2 Undoolya Street	02/09/1990	12/01/2005	-	-	5017m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1990	145599	13/41 Jinka Street	16/04/1990	19/04/2001	-	-	10583m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	73297	14 Marrakai Street	07/12/1992	07/12/1992	-	$415,000	2836m	Full transfer	-	-	-	-	-	$415,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73237	3 Shandon Place	03/08/1992	03/08/1992	-	$399,000	1256m	Full transfer	-	-	-	-	-	$399,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73492	36 Elsey Street	18/02/1992	18/02/1992	-	$340,000	1587m	Full transfer	-	-	-	-	-	$340,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73494	16 Elsey Street	06/03/1992	06/03/1992	-	$300,000	1718m	Full transfer	-	-	-	-	-	$300,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73318	15 Marrakai Street	06/11/1992	06/11/1992	-	$295,000	1371m	Full transfer	-	-	-	-	-	$295,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73464	7 Anningie Place	16/10/1992	16/10/1992	-	$285,000	1758m	Full transfer	-	-	-	-	-	$285,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73351	2 Ambalindum Street	05/08/1992	05/08/1992	-	$269,000	1259m	Full transfer	-	-	-	-	-	$269,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73453	32 Alroy Circuit	27/03/1992	27/03/1992	-	$262,000	948m	Full transfer	-	-	-	-	-	$262,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73507	15 Andado Place	15/01/1992	15/01/1992	-	$260,000	1648m	Full transfer	-	-	-	-	-	$260,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73828	35 Woolner Circuit	23/11/1992	23/11/1992	-	$260,000	1057m	Full transfer	-	-	-	-	-	$260,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73418	45 Alroy Circuit	02/03/1992	02/03/1992	-	$260,000	1000m	Full transfer	-	-	-	-	-	$260,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73253	13 Moroak Street	20/07/1992	20/07/1992	-	$257,000	1087m	Full transfer	-	-	-	-	-	$257,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73268	44 Woolner Circuit	21/12/1992	21/12/1992	-	$255,000	1129m	Full transfer	-	-	-	-	-	$255,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73200	17 Moroak Street	24/12/1992	24/12/1992	-	$255,000	1159m	Full transfer	-	-	-	-	-	$255,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73266	40 Woolner Circuit	03/07/1992	03/07/1992	-	$246,500	1196m	Full transfer	-	-	-	-	-	$246,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
