Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1985	217246	22 Findlay Street	04/02/1985	20/07/2004	-	-	896m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1991	201351	21 Northmore Crescent	25/08/1991	19/04/2000	-	-	803m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73837	83 Starke Street	01/04/1992	01/04/1992	-	$156,000	761m	Full transfer	-	-	-	-	-	$156,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74315	8 Ashburner Street	27/11/1992	27/11/1992	-	$155,000	787m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74330	3 Ashburner Street	03/03/1992	03/03/1992	-	$154,000	824m	Full transfer	-	-	-	-	-	$154,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74044	4 Westhoven Street	01/12/1992	01/12/1992	-	$150,000	646m	Full transfer	-	-	-	-	-	$150,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74313	11 Ewing Street	24/07/1992	24/07/1992	-	$150,000	692m	Full transfer	-	-	-	-	-	$150,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73965	17 Dethridge Street	09/07/1992	09/07/1992	-	$150,000	756m	Full transfer	-	-	-	-	-	$150,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73933	34 Rich Street	31/03/1992	31/03/1992	-	$149,000	922m	Full transfer	-	-	-	-	-	$149,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74105	4 Betts Place	01/10/1992	01/10/1992	-	$148,500	921m	Full transfer	-	-	-	-	-	$148,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73892	28 Lutwyche Street	28/08/1992	28/08/1992	-	$148,000	708m	Full transfer	-	-	-	-	-	$148,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73936	40 Ashburner Street	20/07/1992	20/07/1992	-	$146,000	770m	Full transfer	-	-	-	-	-	$146,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73864	1 Morris Street	03/09/1992	03/09/1992	-	$144,000	892m	Full transfer	-	-	-	-	-	$144,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74067	5 Westhoven Street	27/04/1992	27/04/1992	-	$140,000	725m	Full transfer	-	-	-	-	-	$140,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74110	38 Pennefather Street	08/12/1992	08/12/1992	-	$140,000	720m	Full transfer	-	-	-	-	-	$140,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74203	99 O'Sullivan Street	30/10/1992	30/10/1992	-	$140,000	911m	Full transfer	-	-	-	-	-	$140,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74047	12 Westhoven Street	11/05/1992	11/05/1992	-	$139,000	762m	Full transfer	-	-	-	-	-	$139,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74348	109 Fullagar Crescent	20/03/1992	20/03/1992	-	$139,000	815m	Full transfer	-	-	-	-	-	$139,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74302	16 Draper Crescent	08/09/1992	08/09/1992	-	$138,000	835m	Full transfer	-	-	-	-	-	$138,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74344	13 Ashburner Street	09/06/1992	09/06/1992	-	$138,000	952m	Full transfer	-	-	-	-	-	$138,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74092	38 Bundey Street	12/08/1992	12/08/1992	-	$137,500	641m	Full transfer	-	-	-	-	-	$137,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74357	121 Fullagar Crescent	16/06/1992	16/06/1992	-	$137,000	816m	Full transfer	-	-	-	-	-	$137,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74147	37 Pennefather Street	01/10/1992	01/10/1992	-	$135,000	994m	Full transfer	-	-	-	-	-	$135,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74201	101 O'Sullivan Street	23/12/1992	23/12/1992	-	$134,000	871m	Full transfer	-	-	-	-	-	$134,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74190	41 Findlay Street	21/07/1992	21/07/1992	-	$134,000	846m	Full transfer	-	-	-	-	-	$134,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74342	5 Cussen Street	13/02/1992	13/02/1992	-	$133,000	780m	Full transfer	-	-	-	-	-	$133,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74065	18 Edwards Street	03/04/1992	03/04/1992	-	$133,000	710m	Full transfer	-	-	-	-	-	$133,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74155	42 Edwards Street	01/10/1992	01/10/1992	-	$132,000	987m	Full transfer	-	-	-	-	-	$132,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73945	3 Clyne Place	15/06/1992	15/06/1992	-	$131,200	841m	Full transfer	-	-	-	-	-	$131,200	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73979	22 Castieau Street	29/10/1992	29/10/1992	-	$131,000	732m	Full transfer	-	-	-	-	-	$131,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74154	38 Edwards Street	10/09/1992	10/09/1992	-	$131,000	755m	Full transfer	-	-	-	-	-	$131,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73980	28 Castieau Street	19/10/1992	19/10/1992	-	$130,000	738m	Full transfer	-	-	-	-	-	$130,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74310	3 De Baun Crescent	02/11/1992	02/11/1992	-	$130,000	791m	Full transfer	-	-	-	-	-	$130,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74262	25 Nicholas Street	16/04/1992	16/04/1992	-	$130,000	783m	Full transfer	-	-	-	-	-	$130,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74163	17 Boniwell Street	02/12/1992	02/12/1992	-	$129,950	749m	Full transfer	-	-	-	-	-	$129,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73836	87 Starke Street	04/02/1992	04/02/1992	-	$129,000	755m	Full transfer	-	-	-	-	-	$129,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73977	32 Dethridge Street	11/12/1992	11/12/1992	-	$129,000	705m	Full transfer	-	-	-	-	-	$129,000	-	-	Government Record	-	-	-	For residential purposes only	-	-
1992	73931	20 Rich Place	30/03/1992	30/03/1992	-	$128,750	1063m	Full transfer	-	-	-	-	-	$128,750	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73841	87 Ashburner Street	29/10/1992	29/10/1992	-	$128,500	624m	Full transfer	-	-	-	-	-	$128,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74010	4 Hodges Street	11/12/1992	11/12/1992	-	$128,500	742m	Full transfer	-	-	-	-	-	$128,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74301	14 Draper Crescent	11/08/1992	11/08/1992	-	$128,000	652m	Full transfer	-	-	-	-	-	$128,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74225	70 O'Sullivan Street	26/10/1992	26/10/1992	-	$128,000	725m	Full transfer	-	-	-	-	-	$128,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74170	4 Pennefather Street	18/08/1992	18/08/1992	-	$128,000	713m	Full transfer	-	-	-	-	-	$128,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74245	18 Nicholas Street	27/10/1992	27/10/1992	-	$128,000	725m	Full transfer	-	-	-	-	-	$128,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74025	138 Pennefather Street	10/04/1992	10/04/1992	-	$128,000	748m	Full transfer	-	-	-	-	-	$128,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74272	1 Schutt Street	10/03/1992	10/03/1992	-	$127,500	843m	Full transfer	-	-	-	-	-	$127,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	73928	16 Rich Street	10/06/1992	10/06/1992	-	$127,000	1010m	Full transfer	-	-	-	-	-	$127,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	74101	88 Pennefather Street	27/05/1992	27/05/1992	-	$127,000	901m	Full transfer	-	-	-	-	-	$127,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
