Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1992	77581	6 Moonbi Crescent	22/04/1992	22/04/1992	-	$237,000	881m	Full transfer	-	-	-	-	-	$237,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	77553	15 Rushbrook Circuit	07/10/1992	07/10/1992	-	$227,500	1008m	Full transfer	-	-	-	-	-	$227,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	77612	39 Hadleigh Circuit	30/10/1992	30/10/1992	-	$223,000	1149m	Full transfer	-	-	-	-	-	$223,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	78255	12 Muir Close	04/03/1992	04/03/1992	-	$222,500	965m	Full transfer	-	-	-	-	-	$222,500	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1992	77579	4 Moonbi Crescent	03/06/1992	03/06/1992	-	$220,000	931m	Full transfer	-	-	-	-	-	$220,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	77868	45A Mollee Crescent	04/02/1992	04/02/1992	-	$207,000	1032m	Full transfer	-	-	-	-	-	$207,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1992	77487	23 Rushbrook Circuit	27/02/1992	27/02/1992	-	$197,000	846m	Full transfer	-	-	-	-	-	$197,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	78163	3/23 Jondol Place	25/05/1992	25/05/1992	-	$192,500	22630m	Full transfer	-	-	-	-	-	$192,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	77606	34 Hadleigh Circuit	18/02/1992	18/02/1992	-	$192,000	886m	Full transfer	-	-	-	-	-	$192,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	77611	47 Hadleigh Circuit	17/11/1992	17/11/1992	-	$182,000	835m	Full transfer	-	-	-	-	-	$182,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	77918	20 Kadina Crescent	18/06/1992	18/06/1992	-	$180,000	836m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	77560	69 Galloway Street	04/08/1992	04/08/1992	-	$178,000	1135m	Full transfer	-	-	-	-	-	$178,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	77873	5 Tahrone Place	01/12/1992	01/12/1992	-	$177,000	719m	Full transfer	-	-	-	-	-	$177,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	77815	63 Ellerston Avenue	07/05/1992	07/05/1992	-	$174,000	698m	Full transfer	-	-	-	-	-	$174,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	77464	2 Jasper Close	13/11/1992	13/11/1992	-	$168,500	992m	Full transfer	-	-	-	-	-	$168,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	78173	35/23 Jondol Place	30/06/1992	30/06/1992	-	$167,000	22630m	Full transfer	-	-	-	-	-	$167,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	77901	6 Quambone Place	21/12/1992	21/12/1992	-	$160,000	938m	Full transfer	-	-	-	-	-	$160,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	77588	5 Moonbi Crescent	03/12/1992	03/12/1992	-	$159,950	759m	Full transfer	-	-	-	-	-	$159,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	77573	22 Bandulla Street	07/08/1992	07/08/1992	-	$159,000	1027m	Full transfer	-	-	-	-	-	$159,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	77898	11 Benjee Place	29/01/1992	29/01/1992	-	$159,000	838m	Full transfer	-	-	-	-	-	$159,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
