Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1981	147929	21 Liffey Circuit	27/07/1981	04/05/2001	-	-	967m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1985	148091	21 Mortlock Circuit	03/07/1985	26/08/2002	-	-	738m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1987	240913	43 Murchison Street	15/04/1987	17/12/2008	-	$12,000	807m	Full transfer	-	-	-	-	-	$12,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79685	17 Georgina Crescent	17/08/1992	17/08/1992	-	$500,000	638m	Full transfer	-	-	-	-	-	$500,000	-	-	Government Record	-	-	-	Non retail commercial uses	-	-
1992	78957	26 Pokana Circuit	04/05/1992	04/05/1992	-	$305,000	1505m	Full transfer	-	-	-	-	-	$305,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79244	31 Spigl Street	21/04/1992	21/04/1992	-	$267,500	1813m	Full transfer	-	-	-	-	-	$267,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79248	49 Onkaparinga Crescent	26/06/1992	26/06/1992	-	$260,000	963m	Full transfer	-	-	-	-	-	$260,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1992	79342	3 Tyrrell Circuit	25/11/1992	25/11/1992	-	$248,000	877m	Full transfer	-	-	-	-	-	$248,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79001	26 Bingham Circuit	01/12/1992	01/12/1992	-	$245,700	1584m	Full transfer	-	-	-	-	-	$245,700	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79622	49 Bellinger Crescent	14/12/1992	14/12/1992	-	$245,000	968m	Full transfer	-	-	-	-	-	$245,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79275	19 Kiewa Street	30/10/1992	30/10/1992	-	$245,000	1041m	Full transfer	-	-	-	-	-	$245,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79276	37 Onkaparinga Crescent	03/02/1992	03/02/1992	-	$245,000	988m	Full transfer	-	-	-	-	-	$245,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1992	79620	4 Picton Close	06/11/1992	06/11/1992	-	$233,000	1144m	Full transfer	-	-	-	-	-	$233,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	78968	10 Mortlock Circuit	29/04/1992	29/04/1992	-	$230,000	757m	Full transfer	-	-	-	-	-	$230,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	78906	19 Cataract Street	15/01/1992	15/01/1992	-	$220,000	1362m	Full transfer	-	-	-	-	-	$220,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79547	20 Campaspe Circuit	15/06/1992	15/06/1992	-	$220,000	1170m	Full transfer	-	-	-	-	-	$220,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79577	28 Wakool Circuit	30/11/1992	30/11/1992	-	$219,000	726m	Full transfer	-	-	-	-	-	$219,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79181	11 Apsley Place	30/09/1992	30/09/1992	-	$218,000	807m	Full transfer	-	-	-	-	-	$218,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	78389	42 Moruya Circuit	23/11/1992	23/11/1992	-	$217,000	879m	Full transfer	-	-	-	-	-	$217,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	78590	36 Liffey Circuit	06/02/1992	06/02/1992	-	$210,000	1210m	Full transfer	-	-	-	-	-	$210,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79634	58 Ashburton Circuit	17/08/1992	17/08/1992	-	$210,000	760m	Full transfer	-	-	-	-	-	$210,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	78545	33 Neales Street	02/10/1992	02/10/1992	-	$208,000	733m	Full transfer	-	-	-	-	-	$208,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	78873	80 Alberga Street	03/03/1992	03/03/1992	-	$202,000	1357m	Full transfer	-	-	-	-	-	$202,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	78562	78 Diamantina Crescent	18/12/1992	18/12/1992	-	$200,000	917m	Full transfer	-	-	-	-	-	$200,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79173	13 Apsley Place	20/07/1992	20/07/1992	-	$199,000	749m	Full transfer	-	-	-	-	-	$199,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79609	14 Pasmore Close	12/05/1992	12/05/1992	-	$194,200	816m	Full transfer	-	-	-	-	-	$194,200	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79658	17 Sanford Place	02/04/1992	02/04/1992	-	$190,000	1056m	Full transfer	-	-	-	-	-	$190,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79605	14 Blythe Close	31/03/1992	31/03/1992	-	$189,990	1033m	Full transfer	-	-	-	-	-	$189,990	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	78683	5 Hastings Court	23/01/1992	23/01/1992	-	$187,500	1090m	Full transfer	-	-	-	-	-	$187,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79305	13 Callabonna Street	04/12/1992	04/12/1992	-	$185,500	976m	Full transfer	-	-	-	-	-	$185,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79590	6 Blythe Close	21/09/1992	21/09/1992	-	$185,000	900m	Full transfer	-	-	-	-	-	$185,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79365	32 Florentine Circuit	02/06/1992	02/06/1992	-	$183,000	888m	Full transfer	-	-	-	-	-	$183,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	78483	12 Balonne Street	21/07/1992	21/07/1992	-	$181,000	812m	Full transfer	-	-	-	-	-	$181,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79667	34 Bokhara Circuit	09/06/1992	09/06/1992	-	$180,000	1104m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79223	30 Callabonna Street	20/07/1992	20/07/1992	-	$179,950	913m	Full transfer	-	-	-	-	-	$179,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79145	77 Maribyrnong Avenue	09/06/1992	09/06/1992	-	$179,500	764m	Full transfer	-	-	-	-	-	$179,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	79015	29 Bingham Circuit	02/11/1992	02/11/1992	-	$179,000	684m	Full transfer	-	-	-	-	-	$179,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
