Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1983	220277	22 Wrixon Street	01/01/1983	23/08/2004	-	-	714m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1987	84383	20 Backhouse Street	24/11/1987	05/01/1995	-	-	810m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1988	84344	46 Dalley Crescent	21/07/1988	04/11/1997	-	-	856m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84731	94 Herron Crescent	05/05/1992	05/05/1992	-	$196,950	876m	Full transfer	-	-	-	-	-	$196,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84691	80 Herron Crescent	28/09/1992	28/09/1992	-	$190,000	693m	Full transfer	-	-	-	-	-	$190,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84102	11 Meymott Place	24/03/1992	24/03/1992	-	$187,000	1135m	Full transfer	-	-	-	-	-	$187,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84402	36 Hensman Street	15/12/1992	15/12/1992	-	$187,000	781m	Full transfer	-	-	-	-	-	$187,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84609	4 Homburg Street	09/03/1992	09/03/1992	-	$185,000	1057m	Full transfer	-	-	-	-	-	$185,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84213	38 Stretton Crescent	28/08/1992	28/08/1992	-	$184,000	782m	Full transfer	-	-	-	-	-	$184,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84055	9 Hibbins Place	08/04/1992	08/04/1992	-	$182,000	814m	Full transfer	-	-	-	-	-	$182,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84234	16 Rudall Street	22/12/1992	22/12/1992	-	$180,000	772m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84166	6 Mocatta Place	30/06/1992	30/06/1992	-	$169,950	813m	Full transfer	-	-	-	-	-	$169,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84201	83 MacRossan Crescent	23/09/1992	23/09/1992	-	$168,500	692m	Full transfer	-	-	-	-	-	$168,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84611	14 Real Place	15/12/1992	15/12/1992	-	$168,500	717m	Full transfer	-	-	-	-	-	$168,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84176	8 Joske Place	27/05/1992	27/05/1992	-	$167,000	970m	Full transfer	-	-	-	-	-	$167,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84143	11 Mulvany Place	19/03/1992	19/03/1992	-	$165,000	718m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84500	188 Southern Cross Drive	12/05/1992	12/05/1992	-	$163,000	1379m	Full transfer	-	-	-	-	-	$163,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84273	6 Phillips Place	23/06/1992	23/06/1992	-	$162,950	1123m	Full transfer	-	-	-	-	-	$162,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84535	3 Chubb Street	16/10/1992	16/10/1992	-	$162,500	846m	Full transfer	-	-	-	-	-	$162,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84516	11 Cleland Street	28/08/1992	28/08/1992	-	$162,000	856m	Full transfer	-	-	-	-	-	$162,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84536	3 Faucett Street	22/06/1992	22/06/1992	-	$159,000	837m	Full transfer	-	-	-	-	-	$159,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84122	1 McGhie Place	07/09/1992	07/09/1992	-	$159,000	804m	Full transfer	-	-	-	-	-	$159,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84187	4 Markell Place	23/12/1992	23/12/1992	-	$158,000	948m	Full transfer	-	-	-	-	-	$158,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	84537	37 O'Loghlen Street	10/07/1992	10/07/1992	-	$158,000	832m	Full transfer	-	-	-	-	-	$158,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
