Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1992	86397	2/10 Starritt Place	20/07/1992	20/07/1992	-	$348,000	4028m	Full transfer	-	-	-	-	-	$348,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	86400	4/10 Starritt Place	20/07/1992	20/07/1992	-	$348,000	4028m	Full transfer	-	-	-	-	-	$348,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	86405	1/14 Starritt Place	20/07/1992	20/07/1992	-	$347,000	2867m	Full transfer	-	-	-	-	-	$347,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	86414	4/14 Starritt Place	20/07/1992	20/07/1992	-	$347,000	2867m	Full transfer	-	-	-	-	-	$347,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	86262	19 Goldsbrough Close	08/07/1992	08/07/1992	-	$330,000	1001m	Full transfer	-	-	-	-	-	$330,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86144	39 Jackie Howe Crescent	02/03/1992	02/03/1992	-	$285,000	1404m	Full transfer	-	-	-	-	-	$285,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86215	42 Jackie Howe Crescent	09/04/1992	09/04/1992	-	$280,000	1079m	Full transfer	-	-	-	-	-	$280,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86328	8 Bracker Place	03/11/1992	03/11/1992	-	$271,000	775m	Full transfer	-	-	-	-	-	$271,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86177	4 Bayly Place	07/01/1992	07/01/1992	-	$262,500	819m	Full transfer	-	-	-	-	-	$262,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86346	13 Starritt Place	08/05/1992	08/05/1992	-	$260,100	981m	Full transfer	-	-	-	-	-	$260,100	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86345	15 Starritt Place	19/05/1992	19/05/1992	-	$260,000	940m	Full transfer	-	-	-	-	-	$260,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86118	28 Kater Close	18/08/1992	18/08/1992	-	$260,000	1038m	Full transfer	-	-	-	-	-	$260,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86352	5 Starritt Place	22/07/1992	22/07/1992	-	$256,950	960m	Full transfer	-	-	-	-	-	$256,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86351	7 Starritt Place	01/09/1992	01/09/1992	-	$256,950	842m	Full transfer	-	-	-	-	-	$256,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86350	9 Starritt Place	12/08/1992	12/08/1992	-	$255,450	776m	Full transfer	-	-	-	-	-	$255,450	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86117	24 Kater Close	09/07/1992	09/07/1992	-	$249,350	927m	Full transfer	-	-	-	-	-	$249,350	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86348	11 Starritt Place	21/07/1992	21/07/1992	-	$247,500	874m	Full transfer	-	-	-	-	-	$247,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86115	20 Kater Close	19/11/1992	19/11/1992	-	$245,950	1016m	Full transfer	-	-	-	-	-	$245,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86320	163 Jackie Howe Crescent	24/04/1992	24/04/1992	-	$238,000	1311m	Full transfer	-	-	-	-	-	$238,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86114	18 Kater Close	11/11/1992	11/11/1992	-	$236,000	953m	Full transfer	-	-	-	-	-	$236,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86265	6 Goldsbrough Close	13/01/1992	13/01/1992	-	$235,000	854m	Full transfer	-	-	-	-	-	$235,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	86116	22 Kater Close	22/09/1992	22/09/1992	-	$234,900	800m	Full transfer	-	-	-	-	-	$234,900	-	-	Government Record	-	-	-	Single residential dwelling	-	-
