Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1978	300144	34 Scrivener Street	05/05/1978	11/07/2011	-	-	613m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1979	488016	5 Wattle Street	13/03/1979	14/10/2016	-	$0	865m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1981	188088	13 Yapunyah Street	07/01/1981	12/08/1999	-	-	845m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1986	240947	172 Dryandra Street	20/01/1986	18/12/2008	-	-	927m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1987	11924	            26 Tate Street	20/07/1987	05/05/1999	-	-	838m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1987	101500	114 Scrivener Street	28/06/1987	05/06/1995	-	-	924m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1991	156693	13 Grevillea Street	29/09/1991	10/10/2001	-	-	669m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1991	157057	53 Wattle Street	19/08/1991	19/04/2001	-	-	663m	Full transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100975	2 Bauhinia Street	18/02/1992	18/02/1992	-	$265,000	768m	Full transfer	-	-	-	-	-	$265,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100897	37 Boobialla Street	15/07/1992	15/07/1992	-	$250,000	998m	Full transfer	-	-	-	-	-	$250,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100944	37 Nardoo Crescent	23/09/1992	23/09/1992	-	$245,500	967m	Full transfer	-	-	-	-	-	$245,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100974	11 Quandong Street	09/12/1992	09/12/1992	-	$235,000	966m	Full transfer	-	-	-	-	-	$235,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101256	4 Merrit Place	09/03/1992	09/03/1992	-	$235,000	870m	Full transfer	-	-	-	-	-	$235,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100977	8 Bauhinia Street	24/01/1992	24/01/1992	-	$220,000	1054m	Full transfer	-	-	-	-	-	$220,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100921	3 Yarrow Place	23/12/1992	23/12/1992	-	$216,000	1044m	Full transfer	-	-	-	-	-	$216,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100690	156 Miller Street	08/07/1992	08/07/1992	-	$211,000	664m	Full transfer	-	-	-	-	-	$211,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100892	43 Boobialla Street	13/05/1992	13/05/1992	-	$210,000	1442m	Full transfer	-	-	-	-	-	$210,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101553	23 Cockle Street	30/07/1992	30/07/1992	-	$210,000	834m	Full transfer	-	-	-	-	-	$210,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101185	32 Miller Street	24/08/1992	24/08/1992	-	$210,000	850m	Full transfer	-	-	-	-	-	$210,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101163	20 Faunce Crescent	29/09/1992	29/09/1992	-	$205,000	1137m	Full transfer	-	-	-	-	-	$205,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101551	27 Cockle Street	31/12/1992	31/12/1992	-	$200,000	1069m	Full transfer	-	-	-	-	-	$200,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101039	4 Blackbutt Street	01/09/1992	01/09/1992	-	$200,000	1208m	Full transfer	-	-	-	-	-	$200,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101356	4 Hack Street	20/07/1992	20/07/1992	-	$200,000	1427m	Full transfer	-	-	-	-	-	$200,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100735	53 Scrivener Street	27/08/1992	27/08/1992	-	$200,000	951m	Full transfer	-	-	-	-	-	$200,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101349	25 Fairfax Street	30/07/1992	30/07/1992	-	$196,000	1178m	Full transfer	-	-	-	-	-	$196,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100791	3 Caladenia Street	02/12/1992	02/12/1992	-	$196,000	701m	Full transfer	-	-	-	-	-	$196,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101517	5 Hobbs Street	19/05/1992	19/05/1992	-	$195,000	903m	Full transfer	-	-	-	-	-	$195,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100728	25 Hovea Street	23/04/1992	23/04/1992	-	$192,500	1042m	Full transfer	-	-	-	-	-	$192,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100781	194 Dryandra Street	23/12/1992	23/12/1992	-	$190,000	667m	Full transfer	-	-	-	-	-	$190,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101563	90 Dryandra Street	19/08/1992	19/08/1992	-	$188,500	750m	Full transfer	-	-	-	-	-	$188,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101352	83 Miller Street	31/01/1992	31/01/1992	-	$186,000	845m	Full transfer	-	-	-	-	-	$186,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100967	113 Scrivener Street	04/12/1992	04/12/1992	-	$180,000	923m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101385	148 Dryandra Street	22/05/1992	22/05/1992	-	$180,000	771m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101372	156 Dryandra Street	08/04/1992	08/04/1992	-	$180,000	1098m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101181	42 Miller Street	02/06/1992	02/06/1992	-	$180,000	892m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100720	16 Mulga Street	15/10/1992	15/10/1992	-	$179,000	777m	Full transfer	-	-	-	-	-	$179,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101252	42 Boobialla Street	27/02/1992	27/02/1992	-	$178,500	741m	Full transfer	-	-	-	-	-	$178,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101639	1/15 Sargood Street	07/07/1992	07/07/1992	-	$177,500	552m	Full transfer	-	-	-	-	-	$177,500	-	-	Government Record	-	-	-	Office,professional suite	-	-
1992	101167	18 Faunce Crescent	20/10/1992	20/10/1992	-	$175,000	1024m	Full transfer	-	-	-	-	-	$175,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101248	30 Boobialla Street	20/07/1992	20/07/1992	-	$174,500	716m	Full transfer	-	-	-	-	-	$174,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100992	4 Macarthur Avenue	14/02/1992	14/02/1992	-	$174,000	918m	Full transfer	-	-	-	-	-	$174,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100694	27 Cassinia Street	11/12/1992	11/12/1992	-	$171,000	866m	Full transfer	-	-	-	-	-	$171,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101559	27 Hemmant Street	25/09/1992	25/09/1992	-	$169,000	725m	Full transfer	-	-	-	-	-	$169,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100990	5 Quinn Street	23/11/1992	23/11/1992	-	$169,000	780m	Full transfer	-	-	-	-	-	$169,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101431	28 Scrivener Street	11/03/1992	11/03/1992	-	$165,000	613m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101302	12 Burt Street	02/09/1992	02/09/1992	-	$160,000	822m	Full transfer	-	-	-	-	-	$160,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101312	12 Burt Street	03/09/1992	03/09/1992	-	$160,000	822m	Full transfer	-	-	-	-	-	$160,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101212	3 Hart Street	27/04/1992	27/04/1992	-	$160,000	780m	Full transfer	-	-	-	-	-	$160,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100926	32 Nardoo Crescent	07/04/1992	07/04/1992	-	$159,250	1005m	Full transfer	-	-	-	-	-	$159,250	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101433	30 Scrivener Street	20/01/1992	20/01/1992	-	$158,000	613m	Full transfer	-	-	-	-	-	$158,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100952	28 Quandong Street	11/05/1992	11/05/1992	-	$156,500	767m	Full transfer	-	-	-	-	-	$156,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100910	25 Blackbutt Street	31/03/1992	31/03/1992	-	$155,000	872m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101277	4 Busby Street	09/07/1992	09/07/1992	-	$155,000	855m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100869	110 Miller Street	30/09/1992	30/09/1992	-	$155,000	769m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100936	34 Nardoo Crescent	12/03/1992	12/03/1992	-	$155,000	872m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101410	42 Waratah Street	10/09/1992	10/09/1992	-	$155,000	663m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101140	3 Syme Crescent	13/01/1992	13/01/1992	-	$153,500	960m	Full transfer	-	-	-	-	-	$153,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101075	10 Westgarth Street	10/06/1992	10/06/1992	-	$152,000	1017m	Full transfer	-	-	-	-	-	$152,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101467	8 Hovea Street	06/03/1992	06/03/1992	-	$150,000	904m	Full transfer	-	-	-	-	-	$150,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101065	72 Macarthur Avenue	05/11/1992	05/11/1992	-	$150,000	695m	Full transfer	-	-	-	-	-	$150,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101390	14 Wandoo Street	09/04/1992	09/04/1992	-	$150,000	998m	Full transfer	-	-	-	-	-	$150,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101047	33 David Street	17/03/1992	17/03/1992	-	$148,000	750m	Full transfer	-	-	-	-	-	$148,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101506	6 Berrigan Crescent	01/06/1992	01/06/1992	-	$147,000	598m	Full transfer	-	-	-	-	-	$147,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100692	55 Cassinia Street	03/06/1992	03/06/1992	-	$147,000	562m	Full transfer	-	-	-	-	-	$147,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	100822	3 Coolibah Crescent	29/06/1992	29/06/1992	-	$145,000	751m	Full transfer	-	-	-	-	-	$145,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	101052	13 David Street	05/08/1992	05/08/1992	-	$145,000	626m	Full transfer	-	-	-	-	-	$145,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
