Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1978	102668	16 Hannaford Street	23/04/1978	09/03/1995	-	-	780m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1989	102565	11 Braine Street	07/07/1989	21/06/1995	-	-	723m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1991	157544	14 Hillebrand Street	13/07/1991	02/10/2002	-	-	818m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	102231	41 Halford Crescent	16/09/1992	16/09/1992	-	$940,000	8019m	Full transfer	-	-	-	-	-	$940,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	102759	21 Earle Place	21/01/1992	21/01/1992	-	$722,000	296m	Full transfer	-	-	-	-	-	$722,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
1992	102851	15 Earle Place	21/01/1992	21/01/1992	-	$722,000	310m	Full transfer	-	-	-	-	-	$722,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
1992	102856	19 Earle Place	21/01/1992	21/01/1992	-	$722,000	257m	Full transfer	-	-	-	-	-	$722,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
1992	102778	14 Earle Place	21/01/1992	21/01/1992	-	$722,000	4881m	Full transfer	-	-	-	-	-	$722,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
1992	102854	17 Earle Place	21/01/1992	21/01/1992	-	$722,000	287m	Full transfer	-	-	-	-	-	$722,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
1992	102803	9 Earle Place	02/04/1992	02/04/1992	-	$630,000	5200m	Full transfer	-	-	-	-	-	$630,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
1992	102776	24 Earle Place	15/01/1992	15/01/1992	-	$546,000	5060m	Full transfer	-	-	-	-	-	$546,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	102760	25 Earle Place	10/01/1992	10/01/1992	-	$499,000	3451m	Full transfer	-	-	-	-	-	$499,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
1992	102603	3 Carron Street	23/12/1992	23/12/1992	-	$233,000	785m	Full transfer	-	-	-	-	-	$233,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	102828	8/9 Earle Place	30/12/1992	30/12/1992	-	$175,000	5200m	Full transfer	-	-	-	-	-	$175,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	102457	13/55 Burkitt Street	04/06/1992	04/06/1992	-	$171,500	13967m	Full transfer	-	-	-	-	-	$171,500	-	-	Government Record	-	-	-	Self care units for aged pe...	-	-
1992	102345	28 Diggles Street	23/04/1992	23/04/1992	-	$170,000	1132m	Full transfer	-	-	-	-	-	$170,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	102800	1/60 Petterd Street	10/12/1992	10/12/1992	-	$165,500	1218m	Full transfer	-	-	-	-	-	$165,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	4167	            4/24 Earle Place	03/12/1992	03/12/1992	-	$165,500	5060m	Full transfer	-	-	-	-	-	$165,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	102474	9/55 Burkitt Street	15/01/1992	15/01/1992	-	$165,000	13967m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Self care units for aged pe...	-	-
1992	102393	9/55 Burkitt Street	01/06/1992	01/06/1992	-	$165,000	8494m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Self care units for aged pe...	-	-
1992	102414	4/55 Burkitt Street	18/02/1992	18/02/1992	-	$164,800	5916m	Full transfer	-	-	-	-	-	$164,800	-	-	Government Record	-	-	-	Self care units for aged pe...	-	-
1992	102456	12/55 Burkitt Street	14/05/1992	14/05/1992	-	$163,000	13967m	Full transfer	-	-	-	-	-	$163,000	-	-	Government Record	-	-	-	Self care units for aged pe...	-	-
1992	102707	8 Petterd Street	10/03/1992	10/03/1992	-	$161,500	677m	Full transfer	-	-	-	-	-	$161,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	102395	10/55 Burkitt Street	14/05/1992	14/05/1992	-	$160,625	5916m	Full transfer	-	-	-	-	-	$160,625	-	-	Government Record	-	-	-	Self care units for aged pe...	-	-
