Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1992	104838	3 Elvire Place	26/11/1992	26/11/1992	-	$962,000	10681m	Full transfer	-	-	-	-	-	$962,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	104754	11 Everard Street	03/11/1992	03/11/1992	-	$825,000	8845m	Full transfer	-	-	-	-	-	$825,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	105834	25 Namadgi Circuit	23/03/1992	23/03/1992	-	$765,000	10191m	Full transfer	-	-	-	-	-	$765,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	106303	16 Lambell Close	05/03/1992	05/03/1992	-	$729,000	746m	Full transfer	-	-	-	-	-	$729,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	105138	107 Mainwaring Rich Circuit	12/10/1992	12/10/1992	-	$707,000	9453m	Full transfer	-	-	-	-	-	$707,000	-	-	Government Record	-	-	-	Cluster housing standard de...	-	-
1992	105066	9 Laptz Close	16/10/1992	16/10/1992	-	$652,000	364m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	105059	69 Mainwaring Rich Circuit	16/10/1992	16/10/1992	-	$652,000	383m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	105098	17 Archel Place	16/10/1992	16/10/1992	-	$652,000	369m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	105058	3 Archel Place	16/10/1992	16/10/1992	-	$652,000	382m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	104966	5 Laptz Close	16/10/1992	16/10/1992	-	$652,000	364m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	105067	15 Archel Place	16/10/1992	16/10/1992	-	$652,000	396m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	105062	11 Laptz Close	16/10/1992	16/10/1992	-	$652,000	371m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	104968	3 Laptz Close	16/10/1992	16/10/1992	-	$652,000	364m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	105070	11 Archel Place	16/10/1992	16/10/1992	-	$652,000	443m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	105107	7 Archel Place	16/10/1992	16/10/1992	-	$652,000	379m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	105109	5 Archel Place	16/10/1992	16/10/1992	-	$652,000	382m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	105068	13 Archel Place	16/10/1992	16/10/1992	-	$652,000	436m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	104970	63 Mainwaring Rich Circuit	16/10/1992	16/10/1992	-	$652,000	364m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	105105	9 Archel Place	16/10/1992	16/10/1992	-	$652,000	393m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	105056	7 Laptz Close	16/10/1992	16/10/1992	-	$652,000	364m	Full transfer	-	-	-	-	-	$652,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	105813	21 Namadgi Circuit	23/03/1992	23/03/1992	-	$612,000	8386m	Full transfer	-	-	-	-	-	$612,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	106282	7 Bollard Street	01/07/1992	01/07/1992	-	$562,500	5883m	Full transfer	-	-	-	-	-	$562,500	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	106216	5 Figg Place	23/04/1992	23/04/1992	-	$562,500	6000m	Full transfer	-	-	-	-	-	$562,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	105991	8 Zamia Place	14/04/1992	14/04/1992	-	$540,000	6001m	Full transfer	-	-	-	-	-	$540,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	105508	4 Flora Place	23/12/1992	23/12/1992	-	$504,000	5600m	Full transfer	-	-	-	-	-	$504,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	104953	10 Elvire Place	10/08/1992	10/08/1992	-	$497,000	5630m	Full transfer	-	-	-	-	-	$497,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	103091	81 Bimberi Crescent	02/07/1992	02/07/1992	-	$490,000	4586m	Full transfer	-	-	-	-	-	$490,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	103078	71 Bimberi Crescent	25/06/1992	25/06/1992	-	$490,000	4750m	Full transfer	-	-	-	-	-	$490,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	106283	23 Bollard Street	11/06/1992	11/06/1992	-	$478,000	5246m	Full transfer	-	-	-	-	-	$478,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	105951	18 Zamia Place	26/03/1992	26/03/1992	-	$459,000	5996m	Full transfer	-	-	-	-	-	$459,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	105788	15 Namadgi Circuit	13/01/1992	13/01/1992	-	$459,000	6200m	Full transfer	-	-	-	-	-	$459,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	106009	63 Tinderry Circuit	09/04/1992	09/04/1992	-	$452,000	5601m	Full transfer	-	-	-	-	-	$452,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	104885	3 Redcliffe Street	31/07/1992	31/07/1992	-	$423,000	4801m	Full transfer	-	-	-	-	-	$423,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	103751	215 Kosciuszko Avenue	10/08/1992	10/08/1992	-	$402,000	4517m	Full transfer	-	-	-	-	-	$402,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	104898	19 Redcliffe Street	03/08/1992	03/08/1992	-	$382,000	4245m	Full transfer	-	-	-	-	-	$382,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	105530	14 Flora Place	23/12/1992	23/12/1992	-	$365,000	4003m	Full transfer	-	-	-	-	-	$365,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	105596	77 Namadgi Circuit	04/06/1992	04/06/1992	-	$363,000	5070m	Full transfer	-	-	-	-	-	$363,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	105920	71 Tinderry Circuit	26/03/1992	26/03/1992	-	$360,000	4000m	Full transfer	-	-	-	-	-	$360,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	104884	27 Redcliffe Street	07/08/1992	07/08/1992	-	$356,000	4002m	Full transfer	-	-	-	-	-	$356,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	104782	45 Weddin Circuit	02/10/1992	02/10/1992	-	$336,000	3607m	Full transfer	-	-	-	-	-	$336,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	103768	211 Kosciuszko Avenue	29/09/1992	29/09/1992	-	$335,000	3804m	Full transfer	-	-	-	-	-	$335,000	-	-	Government Record	-	-	-	Cluster housing standard de...	-	-
1992	105444	22 Flora Place	05/11/1992	05/11/1992	-	$327,000	3713m	Full transfer	-	-	-	-	-	$327,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	103109	93 Bimberi Crescent	22/06/1992	22/06/1992	-	$315,000	2979m	Full transfer	-	-	-	-	-	$315,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	106416	1 Lambell Close	30/11/1992	30/11/1992	-	$308,000	845m	Full transfer	-	-	-	-	-	$308,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	105591	91 Namadgi Circuit	25/02/1992	25/02/1992	-	$304,623	3982m	Full transfer	-	-	-	-	-	$304,623	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	103994	7 Ella Close	25/06/1992	25/06/1992	-	$300,000	3654m	Full transfer	-	-	-	-	-	$300,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	104774	26 Narryer Close	15/06/1992	15/06/1992	-	$286,400	3200m	Full transfer	-	-	-	-	-	$286,400	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	106525	179 Kosciuszko Avenue	25/11/1992	25/11/1992	-	$265,000	901m	Full transfer	-	-	-	-	-	$265,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	106273	11 Bollard Street	11/05/1992	11/05/1992	-	$260,400	2835m	Full transfer	-	-	-	-	-	$260,400	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	104954	51 Mainwaring Rich Circuit	03/09/1992	03/09/1992	-	$258,000	2917m	Full transfer	-	-	-	-	-	$258,000	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	106074	14 Wambo Close	29/04/1992	29/04/1992	-	$254,000	455m	Full transfer	-	-	-	-	-	$254,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	106089	18 Wambo Close	29/04/1992	29/04/1992	-	$254,000	472m	Full transfer	-	-	-	-	-	$254,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	106107	20 Wambo Close	29/04/1992	29/04/1992	-	$254,000	474m	Full transfer	-	-	-	-	-	$254,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	106038	10 Wambo Close	29/04/1992	29/04/1992	-	$254,000	457m	Full transfer	-	-	-	-	-	$254,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	106040	12 Wambo Close	29/04/1992	29/04/1992	-	$254,000	452m	Full transfer	-	-	-	-	-	$254,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	106076	16 Wambo Close	29/04/1992	29/04/1992	-	$254,000	463m	Full transfer	-	-	-	-	-	$254,000	-	-	Government Record	-	-	-	Courtyard block	-	-
1992	103887	18 Freeling Crescent	31/12/1992	31/12/1992	-	$252,000	812m	Full transfer	-	-	-	-	-	$252,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	104772	28 Narryer Close	22/06/1992	22/06/1992	-	$250,600	2800m	Full transfer	-	-	-	-	-	$250,600	-	-	Government Record	-	-	-	Cluster housing medium density	-	-
1992	106317	24 Brinkley Circuit	24/09/1992	24/09/1992	-	$249,000	769m	Full transfer	-	-	-	-	-	$249,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	104452	28 Gudgenby Close	20/11/1992	20/11/1992	-	$246,000	898m	Full transfer	-	-	-	-	-	$246,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	104474	128 Kosciuszko Avenue	03/09/1992	03/09/1992	-	$245,000	2643m	Full transfer	-	-	-	-	-	$245,000	-	-	Government Record	-	-	-	Cluster housing standard de...	-	-
1992	105644	12 Arden Place	08/10/1992	08/10/1992	-	$240,000	811m	Full transfer	-	-	-	-	-	$240,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	105787	32 Namadgi Circuit	20/11/1992	20/11/1992	-	$238,900	754m	Full transfer	-	-	-	-	-	$238,900	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	104455	30 Gudgenby Close	17/12/1992	17/12/1992	-	$235,500	883m	Full transfer	-	-	-	-	-	$235,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	106549	17 Sentry Crescent	01/10/1992	01/10/1992	-	$233,100	686m	Full transfer	-	-	-	-	-	$233,100	-	-	Government Record	-	-	-	Single residential dwelling	-	-
