Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1984	109838	32 Longman Street	30/07/1984	14/02/1997	-	-	769m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1987	410854	2 Fullerton Crescent	18/03/1987	16/09/2013	-	$0	943m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1988	159498	5 Oakey Place	22/05/1988	25/07/2001	-	-	425m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Medium density dwelling	-	-
1990	263098	66 Fullerton Crescent	23/12/1990	25/02/2010	15/10/2009	$572,000	950m	Full transfer	4	1	1	2	-	$572,000	-	-	Combined Record	-	-	-	Single residential dwelling	$251,000	0.44
1992	109692	2 Mary Mackillop Place	10/04/1992	10/04/1992	-	$215,000	1155m	Full transfer	-	-	-	-	-	$215,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1992	109646	7 Mary Mackillop Place	03/06/1992	03/06/1992	-	$185,000	816m	Full transfer	-	-	-	-	-	$185,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	109691	42 Deamer Crescent	20/07/1992	20/07/1992	-	$185,000	925m	Full transfer	-	-	-	-	-	$185,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	109298	82 Hemmings Crescent	10/04/1992	10/04/1992	-	$180,000	1036m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	109644	48 Deamer Crescent	25/06/1992	25/06/1992	-	$180,000	923m	Full transfer	-	-	-	-	-	$180,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1992	109642	52 Deamer Crescent	03/09/1992	03/09/1992	-	$174,500	813m	Full transfer	-	-	-	-	-	$174,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	109699	10 Mary Mackillop Place	03/03/1992	03/03/1992	-	$168,000	726m	Full transfer	-	-	-	-	-	$168,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	109256	44 Grimshaw Street	11/12/1992	11/12/1992	-	$165,000	811m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	109568	18 Deamer Crescent	30/11/1992	30/11/1992	-	$165,000	998m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	109252	31 Grimshaw Street	09/04/1992	09/04/1992	-	$164,500	823m	Full transfer	-	-	-	-	-	$164,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	109621	58 Deamer Crescent	21/07/1992	21/07/1992	-	$161,000	737m	Full transfer	-	-	-	-	-	$161,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
