Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1992	112719	33B Fairley Crescent	19/03/1992	19/03/1992	-	$280,000	1410m	Full transfer	-	-	-	-	-	$280,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1992	113036	39 Cochrane Crescent	23/12/1992	23/12/1992	-	$245,000	747m	Full transfer	-	-	-	-	-	$245,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112537	10 Eltham Place	12/03/1992	12/03/1992	-	$222,000	1031m	Full transfer	-	-	-	-	-	$222,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113053	30 Mackerras Crescent	21/12/1992	21/12/1992	-	$216,000	1014m	Full transfer	-	-	-	-	-	$216,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113097	3 Mehaffey Crescent	13/11/1992	13/11/1992	-	$210,000	857m	Full transfer	-	-	-	-	-	$210,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113050	20 Mackerras Crescent	10/08/1992	10/08/1992	-	$210,000	845m	Full transfer	-	-	-	-	-	$210,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112530	12 Ifould Place	04/12/1992	04/12/1992	-	$207,000	999m	Full transfer	-	-	-	-	-	$207,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112709	1 Callister Crescent	02/09/1992	02/09/1992	-	$205,000	1105m	Full transfer	-	-	-	-	-	$205,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113086	64 Louis Loder Street	01/06/1992	01/06/1992	-	$200,000	1437m	Full transfer	-	-	-	-	-	$200,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112735	8 Callister Crescent	20/07/1992	20/07/1992	-	$198,000	865m	Full transfer	-	-	-	-	-	$198,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113037	37 Cochrane Crescent	31/03/1992	31/03/1992	-	$197,000	799m	Full transfer	-	-	-	-	-	$197,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112757	86 Chippindall Circuit	27/10/1992	27/10/1992	-	$194,000	849m	Full transfer	-	-	-	-	-	$194,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112691	39 Goldfinch Circuit	02/11/1992	02/11/1992	-	$192,000	1019m	Full transfer	-	-	-	-	-	$192,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112439	29 Freda Gibson Circuit	20/05/1992	20/05/1992	-	$191,300	905m	Full transfer	-	-	-	-	-	$191,300	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112840	7 Conlon Crescent	09/06/1992	09/06/1992	-	$190,000	859m	Full transfer	-	-	-	-	-	$190,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113092	24 Mehaffey Crescent	06/04/1992	06/04/1992	-	$185,000	817m	Full transfer	-	-	-	-	-	$185,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113057	25 Cochrane Crescent	04/08/1992	04/08/1992	-	$185,000	876m	Full transfer	-	-	-	-	-	$185,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112526	5 Brigden Crescent	11/11/1992	11/11/1992	-	$185,000	915m	Full transfer	-	-	-	-	-	$185,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112616	36 Goldfinch Circuit	23/03/1992	23/03/1992	-	$185,000	800m	Full transfer	-	-	-	-	-	$185,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113071	22 Cochrane Crescent	27/07/1992	27/07/1992	-	$183,500	734m	Full transfer	-	-	-	-	-	$183,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112835	28 Conlon Crescent	16/01/1992	16/01/1992	-	$183,000	872m	Full transfer	-	-	-	-	-	$183,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112741	32 Callister Crescent	26/02/1992	26/02/1992	-	$182,000	874m	Full transfer	-	-	-	-	-	$182,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112713	21 Fairley Crescent	02/12/1992	02/12/1992	-	$177,000	975m	Full transfer	-	-	-	-	-	$177,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112790	51 Callister Crescent	09/03/1992	09/03/1992	-	$175,000	1301m	Full transfer	-	-	-	-	-	$175,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113035	34 Mackerras Crescent	09/10/1992	09/10/1992	-	$174,000	869m	Full transfer	-	-	-	-	-	$174,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112340	13 Tewksbury Circuit	13/03/1992	13/03/1992	-	$173,500	1083m	Full transfer	-	-	-	-	-	$173,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112624	54 Goldfinch Circuit	24/01/1992	24/01/1992	-	$172,000	805m	Full transfer	-	-	-	-	-	$172,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112373	66 Scantlebury Crescent	24/04/1992	24/04/1992	-	$170,000	1229m	Full transfer	-	-	-	-	-	$170,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113110	1 Hartung Crescent	03/08/1992	03/08/1992	-	$170,000	1030m	Full transfer	-	-	-	-	-	$170,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112292	30 Porteous Crescent	30/06/1992	30/06/1992	-	$169,000	1270m	Full transfer	-	-	-	-	-	$169,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112788	45 Callister Crescent	12/05/1992	12/05/1992	-	$168,000	1069m	Full transfer	-	-	-	-	-	$168,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112510	81 Lawrence Wackett Crescent	12/06/1992	12/06/1992	-	$168,000	1120m	Full transfer	-	-	-	-	-	$168,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112731	4 Callister Crescent	25/06/1992	25/06/1992	-	$167,000	831m	Full transfer	-	-	-	-	-	$167,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112596	17 Goldfinch Circuit	27/10/1992	27/10/1992	-	$167,000	834m	Full transfer	-	-	-	-	-	$167,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112783	3 Weavers Crescent	24/08/1992	24/08/1992	-	$160,000	896m	Full transfer	-	-	-	-	-	$160,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112702	10 Fairley Crescent	01/12/1992	01/12/1992	-	$156,000	858m	Full transfer	-	-	-	-	-	$156,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112312	28 Scantlebury Crescent	13/08/1992	13/08/1992	-	$156,000	873m	Full transfer	-	-	-	-	-	$156,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112474	42 Freda Gibson Circuit	12/06/1992	12/06/1992	-	$156,000	800m	Full transfer	-	-	-	-	-	$156,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112697	18 Callister Crescent	14/04/1992	14/04/1992	-	$155,000	1085m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112736	46 Callister Crescent	19/06/1992	19/06/1992	-	$154,000	804m	Full transfer	-	-	-	-	-	$154,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	4981	            5 Scantlebury Crescent	28/09/1992	28/09/1992	-	$152,000	1107m	Full transfer	-	-	-	-	-	$152,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112432	25 Freda Gibson Circuit	14/04/1992	14/04/1992	-	$150,950	911m	Full transfer	-	-	-	-	-	$150,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	112669	73 Goldfinch Circuit	18/06/1992	18/06/1992	-	$149,950	876m	Full transfer	-	-	-	-	-	$149,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	4996	            9/36 Christmas Street	19/06/1992	19/06/1992	-	$149,000	20570m	Full transfer	-	-	-	-	-	$149,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	112851	5 Conlon Crescent	18/08/1992	18/08/1992	-	$148,000	925m	Full transfer	-	-	-	-	-	$148,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	4697	            25/36 Christmas Street	15/06/1992	15/06/1992	-	$147,500	20570m	Full transfer	-	-	-	-	-	$147,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	112703	10 Fairley Crescent	29/04/1992	29/04/1992	-	$147,000	858m	Full transfer	-	-	-	-	-	$147,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
