Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1984	227121	4 Coles Place	28/12/1984	15/12/2005	-	-	1011m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1986	113652	19 Stevenson Street	21/03/1986	15/02/1996	-	-	845m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113468	115 Gouger Street	01/12/1992	01/12/1992	-	$330,000	1265m	Full transfer	-	-	-	-	-	$330,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113467	123 Gouger Street	01/10/1992	01/10/1992	-	$316,000	1027m	Full transfer	-	-	-	-	-	$316,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113365	86 Hawker Street	01/09/1992	01/09/1992	-	$228,000	870m	Full transfer	-	-	-	-	-	$228,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113390	1 Hawker Street	26/08/1992	26/08/1992	-	$210,000	1051m	Full transfer	-	-	-	-	-	$210,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113455	14 Coles Place	22/04/1992	22/04/1992	-	$205,000	1015m	Full transfer	-	-	-	-	-	$205,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113438	20 Torrens Place	06/01/1992	06/01/1992	-	$200,000	262m	Full transfer	-	-	-	-	-	$200,000	-	-	Government Record	-	-	-	Retail	-	-
1992	113374	27 Hawker Street	04/05/1992	04/05/1992	-	$199,500	1388m	Full transfer	-	-	-	-	-	$199,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113349	14 Hawker Street	28/02/1992	28/02/1992	-	$196,500	1188m	Full transfer	-	-	-	-	-	$196,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113474	36 Basedow Street	29/04/1992	29/04/1992	-	$194,000	844m	Full transfer	-	-	-	-	-	$194,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113547	29 Darke Street	13/04/1992	13/04/1992	-	$189,500	940m	Full transfer	-	-	-	-	-	$189,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113708	63 Gouger Street	02/09/1992	02/09/1992	-	$188,000	1319m	Full transfer	-	-	-	-	-	$188,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113476	78 Hawker Street	26/05/1992	26/05/1992	-	$187,000	962m	Full transfer	-	-	-	-	-	$187,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113457	34 Parsons Street	15/12/1992	15/12/1992	-	$171,000	830m	Full transfer	-	-	-	-	-	$171,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113380	6 Hubbe Street	22/07/1992	22/07/1992	-	$168,000	1202m	Full transfer	-	-	-	-	-	$168,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113752	12 Parkin Street	08/07/1992	08/07/1992	-	$165,000	725m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113444	15 Parsons Street	03/08/1992	03/08/1992	-	$159,000	997m	Full transfer	-	-	-	-	-	$159,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113701	42 Brookman Street	30/06/1992	30/06/1992	-	$155,000	1059m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113574	4 Davies Place	10/03/1992	10/03/1992	-	$155,000	833m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113776	19 Kavel Street	26/10/1992	26/10/1992	-	$155,000	775m	Full transfer	-	-	-	-	-	$155,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113329	10/5 Beasley Street	24/12/1992	24/12/1992	-	$153,500	14674m	Full transfer	-	-	-	-	-	$153,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	113370	19 Beasley Street	20/02/1992	20/02/1992	-	$152,000	769m	Full transfer	-	-	-	-	-	$152,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113402	32 Wyatt Street	02/10/1992	02/10/1992	-	$149,000	982m	Full transfer	-	-	-	-	-	$149,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113688	56 Brookman Street	31/07/1992	31/07/1992	-	$145,000	1084m	Full transfer	-	-	-	-	-	$145,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113412	20 Howard Street	30/11/1992	30/11/1992	-	$143,000	880m	Full transfer	-	-	-	-	-	$143,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113564	34 Brookman Street	27/03/1992	27/03/1992	-	$139,500	735m	Full transfer	-	-	-	-	-	$139,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113729	47 Horrocks Street	09/03/1992	09/03/1992	-	$138,500	850m	Full transfer	-	-	-	-	-	$138,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113362	86 Beasley Street	15/01/1992	15/01/1992	-	$138,000	934m	Full transfer	-	-	-	-	-	$138,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113602	156 Beasley Street	11/06/1992	11/06/1992	-	$136,000	888m	Full transfer	-	-	-	-	-	$136,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113770	32 Jefferis Street	26/08/1992	26/08/1992	-	$134,000	964m	Full transfer	-	-	-	-	-	$134,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	113737	12 Kavel Street	28/10/1992	28/10/1992	-	$131,500	723m	Full transfer	-	-	-	-	-	$131,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
