Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
1990	115869	49 Nemarang Crescent	15/12/1990	21/11/1995	-	-	922m	Partial transfer	-	-	-	-	-	-	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116233	8 Gamor Street	24/01/1992	24/01/1992	-	$235,000	1085m	Full transfer	-	-	-	-	-	$235,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	5125	            5/2 Burara Crescent	07/09/1992	07/09/1992	-	$200,000	4829m	Full transfer	-	-	-	-	-	$200,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
1992	116088	32 Yanda Street	02/11/1992	02/11/1992	-	$195,000	684m	Full transfer	-	-	-	-	-	$195,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116534	24 Garanya Street	09/07/1992	09/07/1992	-	$189,950	931m	Full transfer	-	-	-	-	-	$189,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116319	26 Nemarang Crescent	18/11/1992	18/11/1992	-	$188,500	840m	Full transfer	-	-	-	-	-	$188,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116314	19 Dalabon Crescent	28/01/1992	28/01/1992	-	$184,000	739m	Full transfer	-	-	-	-	-	$184,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116271	8 Warrai Place	10/12/1992	10/12/1992	-	$179,000	819m	Full transfer	-	-	-	-	-	$179,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116264	16 Warrai Place	05/11/1992	05/11/1992	-	$174,000	949m	Full transfer	-	-	-	-	-	$174,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116399	75 Nangor Street	19/05/1992	19/05/1992	-	$173,000	905m	Full transfer	-	-	-	-	-	$173,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116178	11 Yiman Street	02/12/1992	02/12/1992	-	$170,000	912m	Full transfer	-	-	-	-	-	$170,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116520	21 Damala Street	24/12/1992	24/12/1992	-	$169,000	902m	Full transfer	-	-	-	-	-	$169,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116417	134 Badimara Street	01/06/1992	01/06/1992	-	$166,000	951m	Full transfer	-	-	-	-	-	$166,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116559	37 Malara Street	21/12/1992	21/12/1992	-	$165,000	664m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116354	20 Nangor Street	10/08/1992	10/08/1992	-	$165,000	704m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116547	101 Nemarang Crescent	15/10/1992	15/10/1992	-	$165,000	1142m	Full transfer	-	-	-	-	-	$165,000	-	-	Government Record	-	-	-	Single residential dwelling...	-	-
1992	116230	44 Badimara Street	03/06/1992	03/06/1992	-	$163,000	802m	Full transfer	-	-	-	-	-	$163,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116050	19 Alawa Street	22/07/1992	22/07/1992	-	$159,950	707m	Full transfer	-	-	-	-	-	$159,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116554	40 Malara Street	04/05/1992	04/05/1992	-	$158,000	722m	Full transfer	-	-	-	-	-	$158,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116091	149 Nemarang Crescent	03/02/1992	03/02/1992	-	$157,000	759m	Full transfer	-	-	-	-	-	$157,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116117	16 Yiman Street	19/03/1992	19/03/1992	-	$156,000	765m	Full transfer	-	-	-	-	-	$156,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
1992	116024	30 Galibal Street	30/09/1992	30/09/1992	-	$153,000	738m	Full transfer	-	-	-	-	-	$153,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
